semantic_key	definition	source_condition	compressed_condition	status_effect	proof_requirement	failure_effect	current_status	caveat
source_witness_status	The source status is the counterexample/obstruction status attached to the normal witness before motif compression.	W is normal and has finite support plus canonical motif M	status is evaluated on W	baseline_status	status language must be fixed	not_applicable	proved_under_current_scope	Classification only; not a theorem about arbitrary status semantics.
compressed_witness_status	The compressed status is the status evaluated on W_comp=normalize(rewrite(W,M,M_comp)).	accepted compression M->M_comp is defined	W_comp is normalized after motif rewrite	status_after_compression	normal-form and status evaluation must be defined	compression_status_blocker	proof_sketch_ready	Normal-form preservation remains proof-sketch for arbitrary motif rewrites.
motif_equivalence_dependence	Status preservation depends on accepted motif equivalence/refinement being a congruence for all status-relevant fields.	M has accepted lower-rank compressed representative M_comp	M_comp replaces M in the witness	status_preserved_if_congruent	canonical-motif status congruence	status_congruence_blocker	proof_sketch_ready	This is the central open status hypothesis.
compressed_motif_payload_effect	Compressed motif payload should refine source motif payload.	motif payload relation is accepted	payload fields are rewritten to M_comp	payload_refinement_preserved_or_open	payload refinement under motif rewrite	payload_blocker	proof_sketch_ready	Payload refinement is not status preservation.
status_preserved_case	Compression preserves counterexample status.	status certificate is invariant under replacing M by M_comp	W_comp has same counterexample status	status_preserved	motif status congruence plus normal-form preservation	not_applicable	proof_sketch_ready	Not promoted to proved.
status_reduced_case	Compression creates a smaller counterexample/status witness.	compression is accepted and W_comp status is valid counterexample or reduced obstruction	W_comp is smaller under support/canonical lexicographic measure	status_reduced_to_smaller_witness	measure decrease plus valid reduced-status theorem	status_reduction_blocker	proof_sketch_ready	Measure decrease is proved; status transfer/reduction remains open.
status_lost_case	Compression destroys status without proving reduced/refuted branch.	status fields are not congruent across the motif rewrite	W_comp lacks required status	status_escape_to_named_operation_blocker	name exact missing congruence/status lemma	status_failure_named_blocker	proved_under_current_scope_as_partition	Failure is named, not hidden as success.
status_escape_case	After operation proof closure, unresolved support>8 residual can become deferred higher-support escape.	all project/contraction/compression/absorption operations fail after proofs	no valid reduction remains	status_escape_to_higher_support	higher-support bound after operation proofs close	deferred_higher_support_escape	proved_under_current_scope_as_partition	No support9+ scan is run.
relation_to_support_measure	Accepted compression may strictly decrease support_size.	compression removes support atoms	support_after < support_before	support_measure_decreases	support arithmetic inside accepted compression	no_support_decrease_use_rank_case	proved_under_current_scope	Measure decrease does not imply status preservation.
relation_to_canonical_motif_rank_decrease	If support size is fixed, accepted compression strictly decreases motif rank.	support_after equals support_before	motif_rank_after < motif_rank_before	canonical_measure_decreases	rank comparison under canonical motif contract	no_rank_decrease_not_compression	proved_under_current_scope	Rank decrease is selected-contract arithmetic, not global completeness.
relation_to_payload_refinement	Payload fields must refine along the motif rewrite.	payload roles agree under accepted motif refinement	compressed payload remains represented	payload_refinement_preserved_or_open	payload congruence under motif compression	payload_refinement_blocker	proof_sketch_ready	Layerwise payload proof remains sketch outside accepted contract.
relation_to_family_chain_source_form	Recognized family-chain source form must remain recognized or route to a named blocker.	family-chain source fields are motif-compatible	W_comp remains recognized or named blocker	source_form_preserved_or_open	source-form motif preservation	source_form_blocker	proof_sketch_ready	Separate from family-chain absorption reduction.
relation_to_higher_support_escape	Failure after operation proof closure can become deferred higher-support escape.	all operation-specific proof routes close or fail	true irreducible support>8 remains	deferred_higher_support_escape	higher-support bound	higher_support_deferred	proved_under_current_scope_as_partition	Higher-support necessity remains deferred.
