metric	value
selected_statement	source_alignment_or_smaller_witness_or_escape
alignment_semantics_status	family_chain_absorption_source_target_alignment_semantics_contract_ready
payload_alignment_status	family_chain_absorption_payload_alignment_proof_ready_source_target_payload_open
status_domain_alignment_status	family_chain_absorption_status_domain_alignment_proof_ready_source_target_domain_open
normal_form_alignment_status	family_chain_absorption_normal_form_alignment_proof_ready_source_target_normal_form_open
refutation_transfer_status	lifted_refutation_to_source_refutation_payload_domain_normal_form_open
skeleton_status	proof_ready_skeleton_family_chain_source_alignment_payload_domain_normal_form_open
obligation_count	12
proved_under_current_scope_sublemma_count	3
proof_sketch_only_sublemma_count	4
blocked_sublemma_count	2
