sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
checked_tail_pattern_capture	proved_under_current_scope	witness is represented in checked support8 tail range 9..15	witness is captured by current tail pattern theorem	certificate has shell_count 7 support7/support8 outside-bounded candidates 2/2 and theorem-preserving survivors 0/0	branch_4/90/runtime/support8_tail_stabilization_certificate_90.tsv	none inside checked range	use_as_verified_checked_tail_lemma
checked_tail_obstruction_chain_capture	proved_under_current_scope	checked witness is in shell15/tail theorem package	obstruction chain captures checked witness	tail chain validates shell15 theorem tail theorem artifact document rerun and freshness gates	branch_4/90/runtime/support8_tail_obstruction_chain_notes_90.md	none inside checked range	use_as_verified_checked_obstruction_lemma
extension_tail_normalization	proof_sketch_only	extension witness has shell/tail coordinates	witness can be represented by extension_distance normal form	normal form has explicit extension_distance and shell16 promoted boundary facts now materialize the first boundary	branch_4/90/runtime/tail_witness_normal_form_90.tsv	full absorption equivalence beyond first boundary	after_family_chain_lift
tail_absorption_step	blocked_by_absorption_step	extension witness is beyond checked tail bound	witness can be folded to checked or shorter witness	no current code/runtime theorem gives such a folding step	branch_4/90/runtime/tail_monotonicity_measure_90.tsv	absorption lemma	prove_or_refine_tail_absorption_step
tail_measure_decreases	blocked_by_absorption_step	absorption step exists	selected tail measure decreases	measure is well-founded but decrease depends on missing absorption step	branch_4/90/runtime/tail_monotonicity_measure_90.tsv	concrete decreasing absorption step	prove_or_refine_tail_absorption_step
absorption_preserves_counterexample_status	blocked_by_absorption_step	absorption step exists	counterexample status is preserved or smaller counterexample is produced	preservation cannot be proved without the absorption operation	branch_4/90/runtime/minimal_counterexample_witness_normal_form_90.tsv	status-preserving absorption lemma	prove_or_refine_tail_absorption_step
no_new_survivor_under_tail_extension	proved_under_current_scope	first unchecked shell16 boundary is considered	no plus-one or theorem-preserving survivor appears at the shell16 boundary	shell16 promotion review found local/plus-one/theorem-preserving survivors 2/0/0 under no-promotion guard and selected limited theorem consumes the boundary fact	branch_4/90/runtime/shell16_promoted_boundary_facts_90.tsv	general extension beyond first boundary	after_family_chain_lift
outside_bounded_stability	proved_under_current_scope	checked candidate fingerprint language applies	classification is stable for checked capture and named extension routing	runtime fingerprints are stable for checked rows; shell16 promoted facts materialize outside-bounded count 4 and selected limited theorem consumes them	branch_4/90/runtime/limited_bridge_theorem_proof_steps_90.tsv	general stability beyond first extension	after_family_chain_lift
shell16_escape_disjointness	proved_under_current_scope	witness is not in checked tail range and absorption is unavailable	witness is routed to shell16_escape disjoint from checked capture	escape interface uses mutually exclusive checked/current vs first-boundary extension triggers	branch_4/90/runtime/minimal_counterexample_escape_interface_90.tsv	shell16 proof itself not included	use_shell16_attempt_protocol
tail_escape_closes_minimal_reduction_blocker	proved_under_current_scope	minimal reduction tail escape is evaluated	checked tail escape is closed; extension escape becomes reviewed shell16 boundary fact or absorption obligation	limited bridge theorem proof consumes checked capture and first shell16 boundary review but does not prove full absorption	branch_4/90/runtime/limited_bridge_theorem_proof_steps_90.tsv	full extension absorption beyond first boundary	after_family_chain_lift
