obligation_key	statement	required_for_refined_lift	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_recognizer	dependency_on_canonicalization	dependency_on_family_chain_layers	dependency_on_higher_support	can_attempt_now	recommended_next_action
recognizer_soundness	If the recognizer accepts, the witness has the family-chain source form.	1	family_chain_source_form_recognizer_90.tsv;support_gt8_witness_anatomy_90.tsv	recognizer_soundness_proof	proof_sketch_ready	yes	possible	no	no	1	prove_support_reduction_operation_sublemma
recognizer_completeness_for_in_scope_family_chain_case	In-scope family-chain cases are accepted by the recognizer or routed to named escape.	1	family_chain_source_form_classification_90.tsv;support_reduction_step_scope_inventory_90.tsv	completeness_for_arbitrary_witness	needs_recognizer_sublemma	yes	no	no	yes	1	higher_support_necessity_recheck
lift_map_total_on_recognized_sources	The refined lift map is defined for every recognized source-form witness.	1	family_chain_refined_lift_map_90.tsv	none beyond recognizer contract	proved_under_current_scope	yes	no	yes	no	1	use_as_refined_map_contract
lift_map_targets_fresh_layers	Every target layer of the refined map is in the fresh 7/7 family-chain package.	1	family_chain_lower_layers_fingerprint_90.tsv	none	proved_under_current_scope	no	no	yes	no	1	maintain_certificate
payload_well_defined_for_recognized_lift	Source and target payloads are well-defined for recognized lifted objects.	1	family_chain_obstruction_payload_semantics_90.tsv	none inside recognized contract	proved_under_current_scope	yes	possible	yes	no	1	use_as_payload_contract
canonicalization_commutes_with_lift	Source and target canonicalization agree for lifted rows.	1	family_chain_refined_lift_map_90.tsv;family_chain_obstruction_language_90.tsv	canonical_lift_soundness	needs_canonicalization_sublemma	yes	yes	yes	no	1	canonicalization_commutes_with_lift_sublemma
obstruction_status_preserved	The obstruction status is preserved by lifting recognized source payloads.	1	family_chain_lift_phase3_obligation_inventory_90.tsv	counterexample-status preservation;operation-specific smaller witness	proof_sketch_ready	yes	yes	yes	no	1	prove_support_reduction_operation_sublemma
counterexample_status_preserved_or_reduced	The counterexample status is preserved or becomes a smaller witness.	1	family_chain_operation_specific_smaller_witness_90.tsv	status preservation or operation-specific smaller witness construction	needs_status_preservation_sublemma	yes	yes	possible	possible	1	prove_support_reduction_operation_sublemma
family_chain_theorem_applies_to_lifted_object	A validly lifted object is in scope for the bounded family-chain theorem.	1	family_chain_support_absorption_90.tsv;family-chain theorem audit	none after valid lifted payload	proved_under_current_scope	yes	no	yes	no	1	use_as_conditional_target_lemma
lift_failure_is_named_escape	Recognition or preservation failure is routed to higher-support or named non-family-chain escape.	1	higher_support_escape_interface_90.tsv;family_chain_source_form_classification_90.tsv	higher_support_bound_for_closure	proved_under_current_scope_as_partition	yes	possible	no	yes	1	higher_support_necessity_recheck
no_untracked_lift_failure	The refinement/preservation inventories have no hidden lift failure class outside classification rows.	1	family_chain_source_form_classification_90.tsv;family_chain_obstruction_payload_semantics_90.tsv	arbitrary witness completeness proof	proof_sketch_ready	yes	yes	possible	yes	1	higher_support_necessity_recheck
