obligation_key	statement	required_for_selected_operation	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_equivalence_relation	dependency_on_measure	dependency_on_normal_form	dependency_on_payload_refinement	dependency_on_counterexample_status	dependency_on_canonicalization	dependency_on_family_chain_lift	dependency_on_higher_support	can_attempt_now	recommended_next_action
coordinate_equivalence_well_defined	Accepted coordinate equivalence defines finite equivalence classes inside the finite support set.	1	equivalent_support_coordinate_notation_90.tsv	arbitrary semantic equivalence completeness	proved_under_current_scope	yes	no	no	possible	possible	possible	possible	no	1	use_contraction_contract
coordinate_equivalence_is_congruence_for_payload	Equivalent coordinates have mergeable payload roles.	1	equivalent_coordinate_congruence_refinement_90.tsv	layerwise payload congruence sublemma	proof_sketch_ready	yes	no	no	yes	possible	possible	possible	no	1	payload_congruence_refinement_later
coordinate_equivalence_status_domain_transfer	Equivalent coordinates preserve status domain only under quotient-invariant status dependencies.	1	contract_equivalent_status_domain_transfer_90.tsv	status-domain invariance under quotient	needs_status_domain_sublemma	yes	no	possible	possible	yes	possible	possible	possible	1	status_domain_transfer_refinement
coordinate_equivalence_normal_form_transfer	Quotient output preserves selected normal form only under quotient normal-form transfer.	1	contract_equivalent_normal_form_transfer_90.tsv	quotient normal-form preservation	needs_normal_form_sublemma	yes	possible	yes	possible	possible	yes	possible	no	1	normal_form_transfer_refinement
coordinate_equivalence_is_congruence_for_counterexample_status	Equivalent coordinates preserve counterexample certificate/status roles only after payload/domain/normal-form/status-predicate congruence.	1	equivalent_coordinate_congruence_refinement_90.tsv	status predicate determination theorem	needs_counterexample_status_sublemma	yes	no	yes	possible	yes	possible	possible	possible	1	status_predicate_congruence_refinement
quotient_coordinate_well_defined	Each equivalence class yields one quotient coordinate.	1	equivalent_support_coordinate_notation_90.tsv	none inside finite partition contract	proved_under_current_scope	yes	no	no	no	no	no	no	no	1	use_quotient_contract
contraction_output_well_defined	Pushing forward fields along the quotient map defines an output object when congruence preconditions hold.	1	contract_equivalent_support_coordinates_operation_semantics_90.tsv	full semantic pushforward proof	proved_under_current_scope	yes	no	possible	possible	possible	possible	possible	no	1	use_output_contract
contraction_strictly_decreases_support_measure_when_nontrivial_class_exists	If any class has size greater than one, support_size and lexicographic support measure strictly decrease.	1	support_bound_measure_90.tsv;contract_equivalent_support_coordinates_smaller_witness_90.tsv	none for finite partition arithmetic	proved_under_current_scope	yes	yes	no	no	no	no	no	no	1	use_measure_decrease
contraction_noop_when_all_classes_singleton	If every class is singleton, contraction is a no-op and not a smaller witness.	1	contract_equivalent_support_coordinates_smaller_witness_90.tsv	none	proved_under_current_scope	yes	yes	no	no	no	no	no	no	1	route_to_next_operation
contraction_preserves_or_reduces_counterexample_status	Quotienting preserves counterexample status or constructs a smaller counterexample under refined congruence/reduction premises.	1	contract_equivalent_status_congruence_refinement_skeleton_90.tsv	status predicate determination;valid reduced-status theorem	needs_counterexample_status_sublemma	yes	possible	yes	possible	yes	possible	possible	possible	1	status_predicate_congruence_refinement
contraction_commutes_with_canonicalization	Canonicalization after quotient agrees with quotient after canonicalization up to refinement.	1	family_chain_canonical_lift_soundness_90.tsv;contract_equivalent_support_coordinates_operation_semantics_90.tsv	canonical quotient commutation sublemma	proof_sketch_ready	yes	possible	possible	possible	possible	yes	possible	no	1	prove_canonicalization_sublemma_later
contraction_respects_family_chain_source_form	Recognized family-chain source form remains recognized or routes to named non-family-chain blocker after quotient.	1	family_chain_lift_phase3_skeleton_90.tsv;family_chain_source_form_recognizer_90.tsv	family-chain source-form quotient sublemma	proof_sketch_ready	yes	no	possible	yes	possible	yes	yes	possible	1	source_form_transfer_refinement
contraction_failure_is_named_escape	Invalid equivalence, failed refined congruence, singleton-only, and normalization failure are named and not hidden.	1	higher_support_escape_interface_90.tsv;contract_equivalent_support_coordinates_skeleton_90.tsv	none for classification	proved_under_current_scope	yes	no	possible	possible	possible	possible	possible	yes	1	use_escape_partition
no_hidden_contraction_failure_case	The operation taxonomy covers success, no-op, blocker, later operation, non-family-chain, and higher-support escape.	1	support_reduction_operations_90.tsv;higher_support_escape_interface_90.tsv	arbitrary operation-selection completeness	proof_sketch_ready	yes	no	possible	possible	possible	possible	possible	yes	1	recheck_after_remaining_operations
