item_key	display_name	current_provenance_label	imported_source_tag	current_source_fingerprint	authoritative_source	constructor_name	cache_load_path	raw_candidates	canonical_candidates	outside_bounded_candidates	local_exact_survivors	plus_one_survivors	theorem_preserving_survivors	unsupported_local_exact_candidates	unsupported_plus_one_candidates	candidate_row_count	candidate_universe_fingerprint	local_exact_survivor_fingerprint	local_exact_progress_cache_fingerprint	plus_one_result_cache_fingerprint	imported_counts_fingerprint	imported_count_equality	imported_row_set_equality	fallback_reachable	fallback_hit	direct_consumers	human_scope_labels	blocker	caveat	runtime_fingerprint
support_plus_one_frontier	support-plus-one frontier	fresh_current_runtime_generated	support_plus_one_frontier_output_67	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_general_structured_schema_frontier_	/mnt/data/support_plus_one_candidate_universe_90.tsv;/mnt/data/support_plus_one_survivor_fingerprints_70.tsv;/mnt/data/support_plus_one_antecedent_index_70.tsv;/mnt/data/support8_plus_one_progress_cache_70.tsv;/mnt/data/support8_plus_one_result_cache_70.tsv;/mnt/data/support8_plus_one_target9_oracle_snapshot_70.tsv	368	294	294	161	6	0	0	0	294	16050:5135167170753575324	9220:17157281906264369632	missing	27810:9696124968108024164	368|294|294|161|6|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	67 minimal frontier layer		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	support_plus_one_frontier|current_runtime_cache_assisted_scan|scan_general_structured_schema_frontier_|fresh|368|294|294|161|6|0|0|0|16050:5135167170753575324
antecedent_plus_one_frontier	antecedent-plus-one frontier	fresh_current_runtime_generated	support_plus_one_frontier_output_67	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_general_structured_schema_frontier_	/mnt/data/antecedent_plus_one_candidate_universe_90.tsv	648	502	208	0	0	0	0	0	208	14144:3999388981417844126				648|502|208|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	67 minimal frontier layer		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	antecedent_plus_one_frontier|current_runtime_cache_assisted_scan|scan_general_structured_schema_frontier_|fresh|648|502|208|0|0|0|0|0|14144:3999388981417844126
mixed_outside_bounded_frontier	mixed outside-bounded frontier	fresh_current_runtime_generated	mixed_outside_bounded_frontier_output_69	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_mixed_outside_bounded_frontier_	/mnt/data/mixed_frontier_candidate_universe_70.tsv;/mnt/data/mixed_frontier_local_exact_survivors_70.tsv;/mnt/data/mixed_frontier_antecedent_index_70.tsv	648	502	208	0	0	0	0	0	208	14144:11254036897727271063	0:11160318154034397263	missing	missing	648|502|208|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	69 mixed outside-bounded layer		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	mixed_outside_bounded_frontier|current_runtime_cache_assisted_scan|scan_mixed_outside_bounded_frontier_|fresh|648|502|208|0|0|0|0|0|14144:11254036897727271063
antecedent_plus_two_frontier	antecedent_plus_two_frontier	fresh_current_runtime_generated	support8_shell5_frontier_output_70	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_antecedent_shell5_frontier_	/mnt/data/antecedent_shell5_candidate_universe_71_antecedent_plus_two_frontier.tsv;/mnt/data/antecedent_shell5_local_exact_result_cache_71.tsv;/mnt/data/antecedent_shell5_local_exact_progress_cache_71.tsv;/mnt/data/antecedent_shell5_local_exact_survivors_71.tsv;/mnt/data/antecedent_shell5_plus_one_result_cache_71.tsv	224	154	154	0	0	0	0	0	154	11858:15899609908210511597	0:11160318154034397263	75:8302987301075077280	missing	224|154|154|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	70 shell5 pair		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	antecedent_plus_two_frontier|current_runtime_cache_assisted_scan|scan_antecedent_shell5_frontier_|fresh|224|154|154|0|0|0|0|0|11858:15899609908210511597
support8_antecedent5_frontier	support8_antecedent5_frontier	fresh_current_runtime_generated	support8_shell5_frontier_output_70	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_antecedent_shell5_frontier_	/mnt/data/antecedent_shell5_candidate_universe_71_support8_antecedent5_frontier.tsv;/mnt/data/antecedent_shell5_local_exact_result_cache_71.tsv;/mnt/data/antecedent_shell5_local_exact_progress_cache_71.tsv;/mnt/data/antecedent_shell5_local_exact_survivors_71.tsv;/mnt/data/antecedent_shell5_plus_one_result_cache_71.tsv	224	154	154	0	0	0	0	0	154	11858:17332073739456232280	0:11160318154034397263	75:8302987301075077280	missing	224|154|154|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	70 shell5 pair		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	support8_antecedent5_frontier|current_runtime_cache_assisted_scan|scan_antecedent_shell5_frontier_|fresh|224|154|154|0|0|0|0|0|11858:17332073739456232280
antecedent_plus_three_frontier	antecedent_plus_three_frontier	fresh_current_runtime_generated	support8_shell6_frontier_output_71	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_antecedent_shell6_frontier_	/mnt/data/antecedent_plus_three_candidate_universe_71.tsv;/mnt/data/antecedent_shell6_local_exact_result_cache_71.tsv;/mnt/data/antecedent_shell6_local_exact_progress_cache_71.tsv;/mnt/data/antecedent_shell6_local_exact_survivors_71.tsv;/mnt/data/antecedent_shell6_plus_one_result_cache_71.tsv	112	70	70	0	0	0	0	0	70	6020:14424497854565611787	0:11160318154034397263	73:12840453304938246076	0:11160318154034397263	112|70|70|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	71 shell6 pair		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	antecedent_plus_three_frontier|current_runtime_cache_assisted_scan|scan_antecedent_shell6_frontier_|fresh|112|70|70|0|0|0|0|0|6020:14424497854565611787
support8_antecedent6_frontier	support8_antecedent6_frontier	fresh_current_runtime_generated	support8_shell6_frontier_output_71	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_antecedent_shell6_frontier_	/mnt/data/support8_antecedent6_candidate_universe_71.tsv;/mnt/data/antecedent_shell6_local_exact_result_cache_71.tsv;/mnt/data/antecedent_shell6_local_exact_progress_cache_71.tsv;/mnt/data/antecedent_shell6_local_exact_survivors_71.tsv;/mnt/data/antecedent_shell6_plus_one_result_cache_71.tsv	112	70	70	0	0	0	0	0	70	6020:16154916361439314399	0:11160318154034397263	73:12840453304938246076	0:11160318154034397263	112|70|70|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	71 shell6 pair		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	support8_antecedent6_frontier|current_runtime_cache_assisted_scan|scan_antecedent_shell6_frontier_|fresh|112|70|70|0|0|0|0|0|6020:16154916361439314399
antecedent_plus_four_frontier	antecedent_plus_four_frontier	fresh_current_runtime_generated	support8_shell7_and_shell8_frontier_output_72	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_antecedent_shell7_frontier_	/mnt/data/antecedent_plus_four_candidate_universe_73.tsv;/mnt/data/antecedent_shell7_local_exact_result_cache_73.tsv;/mnt/data/antecedent_shell7_local_exact_progress_cache_73.tsv;/mnt/data/antecedent_shell7_local_exact_survivors_73.tsv;/mnt/data/antecedent_shell7_plus_one_result_cache_73.tsv	32	18	18	0	0	0	0	0	18	1710:12999662707757580722	0:11160318154034397263	72:4313277765727184409	0:11160318154034397263	32|18|18|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	72 shell7 pair		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	antecedent_plus_four_frontier|current_runtime_cache_assisted_scan|scan_antecedent_shell7_frontier_|fresh|32|18|18|0|0|0|0|0|1710:12999662707757580722
support8_antecedent7_frontier	support8_antecedent7_frontier	fresh_current_runtime_generated	support8_shell7_and_shell8_frontier_output_72	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_antecedent_shell7_frontier_	/mnt/data/support8_antecedent7_candidate_universe_73.tsv;/mnt/data/antecedent_shell7_local_exact_result_cache_73.tsv;/mnt/data/antecedent_shell7_local_exact_progress_cache_73.tsv;/mnt/data/antecedent_shell7_local_exact_survivors_73.tsv;/mnt/data/antecedent_shell7_plus_one_result_cache_73.tsv	32	18	18	0	0	0	0	0	18	1710:344813284924225089	0:11160318154034397263	72:4313277765727184409	0:11160318154034397263	32|18|18|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	72 shell7 pair		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	support8_antecedent7_frontier|current_runtime_cache_assisted_scan|scan_antecedent_shell7_frontier_|fresh|32|18|18|0|0|0|0|0|1710:344813284924225089
antecedent_plus_five_frontier	antecedent_plus_five_frontier	fresh_current_runtime_generated	support8_shell7_and_shell8_frontier_output_72	2729415:14502595494155092201	current_runtime_cache_assisted_scan	scan_antecedent_shell8_frontier_	/mnt/data/antecedent_plus_five_candidate_universe_76.tsv;/mnt/data/antecedent_shell8_local_exact_result_cache_76.tsv;/mnt/data/antecedent_shell8_local_exact_progress_cache_76.tsv;/mnt/data/antecedent_shell8_local_exact_survivors_76.tsv;/mnt/data/antecedent_shell8_plus_one_result_cache_76.tsv	4	2	2	0	0	0	0	0	2	208:11195192915426477613	0:11160318154034397263	68:7649674806788753208	0:11160318154034397263	4|2|2|0|0|0|0|0	1	1	1	0	support8_antecedent13_shell_theorem;support8_antecedent14_shell_theorem;support8_antecedent15_shell_theorem	72 shell8 pair		Current run revalidated this lower-frontier theorem object over cached runtime candidate/certificate artifacts emitted by the same source fingerprint.	antecedent_plus_five_frontier|current_runtime_cache_assisted_scan|scan_antecedent_shell8_frontier_|fresh|4|2|2|0|0|0|0|0|208:11195192915426477613
