semantic_key	definition	source_condition	projected_condition	status_effect	proof_requirement	failure_effect	current_status	caveat
source_witness_status	The source status is the counterexample/obstruction status attached to the normal witness before projection.	W is normal and has support S	status is evaluated on W	baseline_status	status language must be fixed	not_applicable	proved_under_current_scope	Classification only; not a theorem about arbitrary status semantics.
projected_witness_status	The projected status is the status evaluated on W_active=normalize(restrict(W,A)).	A=active_support(W) and projection is defined	W_active is normalized on A	status_after_projection	normal-form and status evaluation must be defined	projection_status_blocker	proof_sketch_ready	Normal-form preservation is proof-sketch for arbitrary schemas.
active_support_status_dependence	Status dependence is allowed only through coordinates included in active support.	status certificate/dependency fields are included in A	W_active contains these fields	status_preserved_if_local	inactive-support status locality	status_locality_blocker	proof_sketch_ready	This is the central open locality hypothesis.
inactive_support_irrelevance	Coordinates in S\\A do not affect payload/status evaluation.	inactive coordinates are outside payload/certificate/status dependencies	W_active omits inactive coordinates	preserved_if_irrelevant	inactive-support irrelevance lemma	named_operation_blocker	payload_ready_status_open	Payload side is ready; status side remains open.
status_preserved_case	Projection preserves counterexample status.	status is local to active coordinates	W_active has same counterexample status	status_preserved	status-locality plus normal-form preservation	not_applicable	proof_sketch_ready	Not promoted to proved.
status_reduced_case	Projection creates a smaller counterexample/status witness.	A is strict subset and projected status remains counterexample or reduced obstruction	W_active is smaller under support measure	status_reduced_to_smaller_witness	measure decrease plus status transfer or reduced-status theorem	status_reduction_blocker	proof_sketch_ready	Measure decrease is proved; status transfer/reduction remains open.
status_lost_case	Projection destroys status without proving reduced/refuted branch.	status uses data not justified as active	W_active lacks required status	status_escape_to_named_operation_blocker	name exact missing dependency/status lemma	status_failure_named_blocker	proved_under_current_scope_as_partition	Failure is named, not hidden as success.
status_escape_case	After operation proof closure, unresolved support>8 residual can be deferred higher-support escape.	all project/contraction/compression/absorption operations fail after proofs	close no valid reduction	status_escape_to_higher_support	higher-support bound after operation proofs close	deferred_higher_support_escape	proved_under_current_scope_as_partition	No support9+ scan is run.
relation_to_support_measure	Strict active subset decreases support_size.	A proper subset S	W_active support size |A|<|S|	support_measure_decreases	measure arithmetic	not_smaller_if_A_equals_S	proved_under_current_scope	Measure decrease does not imply status preservation.
relation_to_payload_refinement	Payload fields are active and restrict to A.	payload dependencies are included in A	projected payload remains represented	payload_refinement_preserved_or_open	payload transfer under projection	payload_refinement_blocker	proof_sketch_ready	Layerwise family-chain payload proof remains sketch.
relation_to_family_chain_source_form	Recognized family-chain fields must remain active.	recognizer/lift fields are included in A	projected source form is recognized	source_form_preserved_or_open	source-form preservation under projection	source_form_blocker	proof_sketch_ready	Not conflated with family-chain absorption.
relation_to_higher_support_escape	Failure after operation proof closure can become deferred higher-support escape.	all operation-specific proof routes close or fail	true irreducible support>8 remains	deferred_higher_support_escape	higher-support bound	higher_support_deferred	proved_under_current_scope_as_partition	Higher-support necessity remains deferred.
