alignment_component	definition	source_condition	target_condition	alignment_rule	proof_requirement	failure_effect	current_status	caveat
source_witness	The recognized family-chain support-growth witness before absorption.	recognized source form;source counterexample-status predicate is well-formed	none	source side anchors the transfer	source recognizer and status semantics	recognized-source escape	proved_under_current_scope	Does not cover arbitrary source forms.
lifted_absorption_target	The lower-layer target obtained by the family-chain lift package.	source lift map selected	fresh lower-layer target package available	target refutation is read through the lift map	lifted target availability and refutation lemma	target-package escape	proved_under_current_scope	Availability is not source payload alignment.
source_payload	The obstruction payload carried by the source counterexample candidate.	payload extracted from recognized source form	none	source payload is the object to be refuted	payload semantics for source form	payload semantics blocker	proof_sketch_ready	Payload extraction is separate from status-domain transfer.
target_payload	The payload appearing in the lifted target refutation.	lift map applied	target theorem-data row selected	target payload is a refinement/projection of source payload	source-target payload correspondence	payload mismatch branch	family_chain_absorption_payload_alignment_proof_ready_source_target_payload_open	Not a coordinate quotient and not canonical motif compression.
source_status_domain	Status-domain over which the source counterexample predicate is evaluated.	source status language fixed	none	source domain must contain the lifted refutation's interpreted dependency	domain dependency extraction	source-domain blocker	family_chain_absorption_status_domain_alignment_proof_ready_source_target_domain_open	Payload alignment alone does not prove domain compatibility.
target_status_domain	Status-domain used by the lifted target refutation.	lift map defines target	target status language fixed	target domain must map into or refine the source domain	domain map well-defined	domain transfer escape	family_chain_absorption_status_domain_alignment_proof_ready_source_target_domain_open	The target domain may be a refinement rather than identical to the source domain.
source_normal_form	Normal form required for source counterexample-status evaluation.	source witness normalized in support notation	none	source form must remain comparable after interpreting the target	normal-form predicate for recognized sources	normal-form blocker	family_chain_absorption_normal_form_alignment_proof_ready_source_target_normal_form_open	Recognized source form is not a full arbitrary normal-form theorem.
target_normal_form	Normal form of the lifted absorption target used by the target refutation.	source form lifts to target	target row normalized	target normal form must be interpretable in the source normal form	normal-form compatibility	normal-form escape or smaller-witness branch	family_chain_absorption_normal_form_alignment_proof_ready_source_target_normal_form_open	Lower-layer freshness does not automatically transfer normal form.
payload_alignment	The target payload refutation attacks the same obstruction represented by the source payload.	source payload extracted	target payload extracted	correspondence or refinement map preserves obstruction meaning	payload correspondence sublemma	smaller witness if payload mismatch yields strict reduction; otherwise named escape	family_chain_absorption_payload_alignment_proof_ready_source_target_payload_open	This remains proof-ready, not fully proved.
status_domain_alignment	The target refutation is meaningful inside the source status-domain.	source status-domain available	target status-domain available	domain map preserves predicate dependencies	domain alignment sublemma	domain escape or status-domain refinement target	family_chain_absorption_status_domain_alignment_proof_ready_source_target_domain_open	Open shared blocker with project/contract/canonical domain transfer.
normal_form_alignment	The source and target normal forms support the same refutation interpretation.	source normal form	target normal form	normal-form map preserves status-relevant canonical fields	normal-form alignment sublemma	normal-form escape or smaller-witness branch	family_chain_absorption_normal_form_alignment_proof_ready_source_target_normal_form_open	Open shared blocker with canonical and contract normal-form rounds.
refutation_alignment	The lifted target refutation negates the source counterexample predicate after payload/domain/normal-form alignment.	source counterexample-status predicate	lifted target refutation	target refutation transfers along the three alignment maps	lifted-refutation-to-source-refutation lemma	refutation transfer blocker	lifted_refutation_to_source_refutation_payload_domain_normal_form_open	This is not yet a completed source refutation proof.
smaller_witness_fallback	A failed alignment branch that constructs a strict smaller witness.	alignment mismatch exposes strict residual or payload reduction	candidate reduced witness valid	route to residual measure decrease proof	residual measure and valid-witness sublemma	remains open if residual measure is not proved	blocked_by_measure_decrease	This round separates alignment from residual measure.
alignment_escape	A named non-refuting branch when source-target alignment cannot currently be proved.	mismatch not reduced by current smaller-witness construction	target package or domain/normal form outside current contract	classify as named escape instead of hiding failure	escape naming and no-hidden-case inventory	higher-support or operation-specific escape remains deferred	proved_under_current_scope	Escape classification is not a proof of the general theorem.
