lift_component	source_component	target_family_chain_layer	target_row_or_object	construction_rule	canonicalization_rule	depends_on_layer	preserves_support_relation	preserves_obstruction_status	preserves_counterexample_status	missing_sublemma	current_status
source_signature_lift	recognized source signature	family_chain_obstruction_object	source_family_signature_row	copy normalized family signature into target source row	source canonical key retained	all_layers	yes	proof_sketch_only	proof_sketch_only	recognizer_soundness	proof_sketch_ready
pair52_projection	recognized pair component	pair layer 52	pair52 bounded region row	project two-family component into pair52 row	pair row canonicalization	52	yes	yes_if_payload_preserved	yes_if_payload_preserved	pair_projection_payload_preservation	proof_ready_skeleton
triple53_projection	recognized triple component	triple layer 53	triple53 theorem-data row	route depth=3 component to triple53 row	triple row canonicalization	53	yes	yes_if_payload_preserved	yes_if_payload_preserved	triple_projection_payload_preservation	proof_ready_skeleton
quad55_projection	recognized quadruple component	quadruple layer 55	quad55 theorem-data row	route depth=4 component to quad55 row	quad row canonicalization	55	yes	yes_if_payload_preserved	yes_if_payload_preserved	quad_projection_payload_preservation	proof_ready_skeleton
quint57_projection	recognized quintuple component	quintuple layer 57	quint57 theorem-data row	route depth=5 component to quint57 row	quint row canonicalization	57	yes	yes_if_payload_preserved	yes_if_payload_preserved	quint_projection_payload_preservation	proof_ready_skeleton
sext57_projection	recognized sextuple component	sextuple layer 57	sext57 theorem-data row	route depth=6 component to sext57 row	sext row canonicalization	57	yes	yes_if_payload_preserved	yes_if_payload_preserved	sext_projection_payload_preservation	proof_ready_skeleton
sept57_projection	recognized septuple component	septuple layer 57	sept57 theorem-data row	route depth=7 component to sept57 row	sept row canonicalization	57	yes	yes_if_payload_preserved	yes_if_payload_preserved	sept_projection_payload_preservation	proof_ready_skeleton
high57_projection	recognized high-family component	high-family layer 57	high57 aggregate row	route depth>=6 aggregate component to high57 row	high-family row canonicalization	57	yes	yes_if_payload_preserved	yes_if_payload_preserved	high_projection_payload_preservation	proof_ready_skeleton
canonical_lift_row	recognized canonical motif	canonical target row	canonical lifted family row	canonicalize target after projection	target canonicalization should commute with source canonicalization	all_layers	yes	proof_sketch_only	proof_sketch_only	canonicalization_commutes_with_lift	proof_sketch_ready
obstruction_payload_lift	recognized obstruction payload	family-chain theorem object	lifted obstruction object	attach obstruction payload to projected target row	payload equality must preserve obstruction semantics	all_layers	yes	unknown	unknown	obstruction_status_preserved	blocked_by_obstruction_preservation
escape_on_failed_refinement	unrecognized or preservation-failed component	higher_support_escape	named escape row	no lift; emit escape classification	not_applicable	none	not_closed_classified	not_closed_classified	not_closed_classified	higher_support_bound	classified_as_escape
