metric	value
item_key	quintuple_family_expansion_theorem_data_57
previous_provenance_label	imported_lower_layer
current_provenance_label	fresh_current_runtime_generated
authoritative_constructor_name	load_current_quintuple_family_expansion_theorem_data_57_runtime_artifact_
upstream_quad55_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/quadruple_family_expansion_theorem_data_55_payload_90.tsv
upstream_quad55_label	fresh_current_runtime_generated
upstream_quad55_fallback_hit	0
upstream_triple53_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/triple_family_expansion_theorem_data_53_payload_90.tsv
upstream_triple53_label	fresh_current_runtime_generated
upstream_triple53_fallback_hit	0
upstream_pair52_source_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/pair_expansion_aggregate_52_payload_90.tsv
upstream_pair52_label	fresh_current_runtime_generated
upstream_pair52_fallback_hit	0
pass1_builder_used	0
cache_loaded	1
cache_load_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/quintuple_family_expansion_theorem_data_57_payload_90.tsv
region_count	21
raw_candidates	3634
canonical_candidates	3634
deduplicated_candidates	294
local_exact_survivors	0
plus_one_survivors	0
theorem_preserving_survivors	0
current_fingerprint	11519:14985224666762482157
imported_comparison_fingerprint	57|regions=21|raw=3634|canonical=3634|deduplicated=294|local=0|plus=0|theorem=0
imported_equality_result	counts_and_consumer_visible_fingerprint_equal
fallback_reachable	1
fallback_hit	0
runtime_fingerprint	fresh|current_runtime_quintuple_family_expansion_theorem_data_57_cache|load_current_quintuple_family_expansion_theorem_data_57_runtime_artifact_|0|1|21|3634|3634|294|0|0|0|11519:14985224666762482157|57|regions=21|raw=3634|canonical=3634|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0|0||Current authoritative path loaded a validated runtime quintuple-family expansion theorem data 57 artifact; upstream quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
direct_consumer_summary	bounded family-chain theorem;family-chain self verification via unified bounded schema-universe theorem
downstream_caveat_impact	quintuple 57 caveat removed; sextuple and septuple 57 are current constructor/cache-backed; next lower-layer target is high_family_expansion_theorem_data_57
relationship_to_remaining_57_layers	sextuple, septuple, and high-family 57 sublayers are current-generated; no remaining family-chain lower imported row
blocker	
caveat	Current authoritative path loaded a validated runtime quintuple-family expansion theorem data 57 artifact; upstream quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
