obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_payload_alignment	dependency_on_status_domain	dependency_on_normal_form	dependency_on_refutation	dependency_on_measure_decrease	dependency_on_higher_support	can_attempt_now	recommended_next_action
source_target_alignment_language_well_defined	The source-target alignment language is well-defined for recognized family-chain source forms.	1	source recognizer;lift map;status language		proved_under_current_scope	0	0	0	0	0	0	1	use_as_language_contract
payload_alignment_available	Source and target payload correspondence is available for the lifted target refutation.	1	family_chain_source_target_payload_correspondence	semantic payload preservation	proof_sketch_ready	1	0	0	1	0	0	1	refine_payload_alignment_sublemma
status_domain_alignment_available	The lifted target status-domain can be compared with the source status-domain.	1	status language;family-chain status semantics	source-target domain transfer	needs_status_domain_sublemma	1	1	0	1	0	0	1	project_to_active_status_domain_refinement
normal_form_alignment_available	The lifted target normal form is compatible with the source normal form for status comparison.	1	support notation and normal form;lift map	source-target normal-form transfer	needs_normal_form_sublemma	1	1	1	1	0	0	1	contract_and_canonical_domain_normal_form_rounds
lifted_target_refutation_available	The lifted target refutation from the lower-layer package is available.	1	family_chain_absorption_refutation_lemma;7/7 fresh lower layers		proved_under_current_scope	0	0	0	1	0	0	1	use_as_target_side_input
payload_alignment_supports_source_refutation	Payload alignment makes the target refutation relevant to the source payload obstruction.	1	payload correspondence;target refutation	payload semantic preservation	proof_sketch_ready	1	0	0	1	0	0	1	prove_payload_semantic_preservation
domain_alignment_supports_source_refutation	Domain alignment lets the target contradiction be evaluated by the source status predicate.	1	status-domain alignment inventory	source-target domain transfer	needs_status_domain_sublemma	1	1	0	1	0	0	1	status_domain_alignment_refinement
normal_form_alignment_supports_source_refutation	Normal-form alignment prevents target refutation from changing the source predicate meaning.	1	normal-form alignment inventory	normal-form transfer	needs_normal_form_sublemma	1	1	1	1	0	0	1	normal_form_alignment_refinement
lifted_refutation_refutes_source_counterexample	The aligned lifted refutation denies the source counterexample-status predicate.	1	target refutation;payload alignment inventory	payload+domain+normal-form predicate determination	needs_refutation_transfer_sublemma	1	1	1	1	0	0	1	lifted_refutation_transfer_sublemma
alignment_failure_constructs_smaller_witness	A failed alignment branch constructs a strict smaller witness when residual data decreases.	1	absorption construction;measure framework	residual absorption measure decrease	needs_measure_sublemma	1	1	1	0	1	0	0	residual_absorption_measure_decrease
alignment_failure_is_named_escape	A failed non-reduced alignment branch is named as an operation-specific or higher-support escape.	1	higher-support escape interface;operation blocker language		proved_under_current_scope	1	1	1	0	0	1	1	keep_named_escape_visible
no_hidden_alignment_failure_case	Every current source-target alignment failure is either payload/domain/normal/refutation open, smaller-witness open, or named escape.	1	source alignment inventories	full no-hidden-case proof after residual measure	proof_sketch_ready	1	1	1	1	1	1	1	residual_absorption_measure_decrease
