semantic_key	definition	source_condition	projected_condition	locality_effect	proof_requirement	failure_effect	current_status	caveat
inactive_support_coordinate	A coordinate in S minus active_support(W).	W has finite support S and active set A	coordinate not in A	no direct payload/status dependency by definition	active support dependency extraction	inactive coordinate may expose incomplete dependency extraction	proved_under_current_scope_definition	Definition does not prove arbitrary status irrelevance.
active_projection	W_active=normalize(restrict(W,A)).	A subset of S;restriction defined	projected witness normalized	project-to-active operation target	operation semantics and normal-form transfer	ill-formed projection routes to named blocker	project_to_active_semantics_contract_ready	No-op when A=S.
payload_locality	Inactive coordinates do not affect selected payload carriers.	payload dependencies contained in A	payload fields represented in W_active	payload preserved under selected contract	active support includes payload dependencies	payload refinement gap for arbitrary family-chain rows	inactive_support_payload_locality_proved_under_current_scope	Does not imply status locality alone.
counterexample_status_locality	Inactive coordinates do not affect counterexample status when status dependencies and status domain are invariant.	status/certificate dependencies active;domain invariant	status predicate comparable and unchanged	status preserved	status dependency extraction;domain invariance;normal form	domain/status mismatch becomes reduction or escape	proof_ready_status_domain_open	Main refinement blocker.
locality_preserved_case	Payload and status locality both hold.	W counterexample;W_active comparable	W_active has same status	preservation branch closes	status locality plus normal form	missing locality prevents preservation	proof_sketch_ready	Conditional, not completed.
locality_reduced_case	Projection changes status domain but yields a valid smaller counterexample/reduced obstruction.	A strict subset of S;projected status valid	W_active smaller	reduction branch uses measure decrease	valid reduced-status theorem	failure routes to named blocker	proof_sketch_ready	Measure is ready; validity of changed status remains open.
locality_failure_case	Payload/status/domain/normal-form transfer fails.	at least one locality premise missing	preservation/reduction not established	no success claim	hidden-case partition	named operation blocker or deferred higher-support escape	proved_under_current_scope_as_partition	Not a theorem-data necessity claim.
locality_escape_case	Failure cannot be resolved by current operation proof obligations.	operation blockers remain after refinement	higher-support only considered after operation proofs close	deferred escape	higher-support bound after operation proofs	true higher-support escape deferred	higher_support_deferred	No support9 scan was run.
support_measure_relation	Strict active subset decreases support-size component.	A strict subset of S	|A|<|S|	reduction measure guard	project_to_active smaller-witness lemma	no smaller witness if A=S	proved_under_current_scope	Measure decrease is not status locality.
normal_form_relation	Projection followed by normalization must preserve selected normal form.	W normal	W_active normal	status predicate applicable	normal-form transfer proof	status-domain mismatch	blocked_by_normal_form_transfer	Still open.
family_chain_source_relation	Recognized family-chain source fields must remain active.	recognizer/lift fields in A	projected source remains recognized	source-form locality	family-chain source projection proof	source alignment blocker	proof_sketch_ready	Not family-chain absorption.
higher_support_relation	Higher-support necessity stays deferred while locality/congruence obligations are open.	operation proof blockers open	no true irreducible escape yet	scan not recommended	higher-support recheck after operation proofs	close operation blockers first	higher_support_deferred	No support9+ scan.
