semantic_component	definition	input_witness_condition	equivalence_condition	equivalence_class	quotient_coordinate	output_witness_construction	support_effect	payload_effect	canonicalization_effect	counterexample_status_effect	relation_to_family_chain_lift	relation_to_higher_support_escape	current_status	caveat
input_witness_form	Normal support witness W with finite support set S and support_size greater than 8.	W is in selected support normal form	accepted relation may be computed on S	classes partition S	none yet	none before quotient	baseline support_size |S|	payload indexed by S	canonical motif indexed by S	status certificate indexed by S	recognized source form if applicable	irreducible if no operation applies	proved_under_current_scope	Does not assert equivalence exists.
equivalence_relation_computation	Compute accepted coordinate equivalence from role, payload, motif, and status congruence predicates.	W has extracted roles and payload/status descriptors	syntactic role plus declared congruence	classes from reflexive-symmetric-transitive closure	representative selected per class	quotient map q:S->S/~	no support change before quotient	payload components grouped by q	canonical profiles grouped by q	status profiles grouped by q	family-chain layer roles grouped by q	failure to compute is named blocker	proof_sketch_ready	Status congruence is open.
nontrivial_class_precondition	At least one equivalence class has size greater than one.	W has equivalence classes	class size > 1	one or more nontrivial classes	each class gets one quotient coordinate	quotient witness uses quotient set	support_size decreases by removed duplicates	payload components merged by class	canonical labels later renormalized	status components require congruence	family-chain roles require layer compatibility	no nontrivial class routes to next operation	proved_under_current_scope	Singleton-only case is no-op.
quotient_rule	Replace every coordinate x by q(x), the quotient coordinate of its equivalence class.	W fields are indexed by S	every used coordinate belongs to a class	all classes nonempty	one coordinate per class	W/~ with fields pushed forward along q	support_size becomes number of classes	payload pushed forward or refined	canonical form re-normalized after quotient	status pushed forward only under congruence	family-chain source form pushed forward if roles congruent	invalid pushforward is named failure	proof_sketch_ready	Pushforward preservation is not fully proved.
output_witness_construction	W_contract = normalize(pushforward(W,q)).	normalization function available	quotient map total	classes partition support	representative or fresh quotient coordinate	normalize contracted object	support does not increase and strictly decreases if class nontrivial	payload refinement expected	canonical renaming applied	status preservation/reduction open	recognized-source preservation proof-sketch	normalization failure named blocker	proof_sketch_ready	Normal-form preservation remains proof-sketch.
support_measure_before_after	Before: |S|. After: |S/~|.	|S|>8	nontrivial class exists	partition has fewer blocks than elements	quotient support set	W_contract	negative support_size delta	payload unaffected by arithmetic	canonical rank may also reduce	status not needed for arithmetic	family-chain lift not needed for arithmetic	no decrease if all singleton	proved_under_current_scope	Measure proof is conditional on nontrivial class.
payload_effect	Merged payload must equal or refine the original class payload.	payload components class-compatible	payload congruence holds	classes group equal/refinable payloads	merged payload component	contracted payload object	support decrease plus payload refinement	proof-sketch payload refinement	canonical payload sorted after quotient	insufficient for status alone	supports lifted payload preservation	payload mismatch routes to blocker	proof_sketch_ready	Payload congruence sublemma not fully proved.
canonicalization_effect	Canonicalization after quotient should commute with quotient up to refinement.	canonical motif profile extracted	canonical-motif equivalence holds	classes respect motif profiles	representative normalized	contracted canonical motif	lexicographic measure may decrease further	payload order normalized	proof-sketch canonical compatibility	status fields reindexed	phase3 canonical soundness dependency	canonical mismatch routes to compression/blocker	proof_sketch_ready	Not canonical motif compression itself.
counterexample_status_effect	Status is preserved only if equivalence is a congruence for the counterexample certificate; otherwise a reduced witness or blocker must be named.	status/certificate fields extracted	status congruence required	class status roles agree	merged certificate coordinate	contracted certificate	status preservation/reduction open	payload refinement is necessary not sufficient	canonical status reindexing needed	primary blocker	family-chain status transfer blocked	status failure named blocker or higher-support escape	blocked_by_counterexample_status	No unconditional preservation claim.
family_chain_lift_relation	For recognized family-chain source forms, quotient must respect layer roles and source-form recognizer assumptions.	recognized source form optional	family-chain-source equivalence required	classes do not merge incompatible layer roles	quotient layer role	contracted recognized source candidate	may reduce family-chain support	payload relation expected	canonical layer projection dependency	status preservation still open	phase3 projection/canonical proof-ready inputs	role mismatch routes to non-family-chain blocker	proof_sketch_ready	Recognized-source only.
final_status	Contraction semantics are first-class and proof-ready with strict measure decrease under nontrivial class precondition.	selected operation only	accepted relation required	nontrivial class required	quotient representative defined	W_contract=normalize(pushforward(W,q))	negative support_size when class nontrivial	conditional payload refinement	conditional canonical compatibility	status preservation blocked	conditional family-chain preservation	named operation failure if preconditions absent	coordinate_contraction_semantics_contract_ready	No full operation theorem.
