component_key	shell15_existing_path	shell16_needed_path	reusable	requires_refactor	current_status	risk	next_action
shell15_spec_builder	build_antecedent_shell15_frontier_specs_	build_antecedent_shell16_frontier_specs_	yes	yes	contract_only	medium	define_shell16_spec_bounds_before_attempt
candidate_enumerator	enumerate_antecedent_shell15_frontier_candidates_	enumerate_antecedent_shell16_frontier_candidates_	yes	yes	contract_only	medium	derive_shell16_candidate_schema_from_shell15_without_running_scan
candidate_universe_path	antecedent_shell15_candidate_universe_path_	shell16_candidate_universe_90.tsv	partial	yes	contract_defined	medium	create_distinct_shell16_path_no_shell15_copy
local_exact_cache	antecedent_shell15_local_exact_result_cache_90.tsv	shell16_local_exact_survivor_audit_90.tsv	partial	yes	contract_defined	high	run_only_in_future_attempt
plus_one_cache	antecedent_shell15_plus_one_result_cache_90.tsv	shell16_plus_one_survivor_audit_90.tsv	partial	yes	contract_defined	high	run_only_in_future_attempt
theorem_preserving_scan	compute_shell15_theorem_preserving_survivors_	shell16_theorem_preserving_survivor_audit_90.tsv	partial	yes	contract_defined	high	run_only_in_future_attempt
generation_audit	shell15_frontier_generation_audit_90_<tag>.tsv	shell16_frontier_generation_audit_90.tsv	yes	yes	contract_defined	medium	emit_future_shell16_audit_with_no_promotion_guard
rowset_equality	shell15_frontier_rowset_equality_90.tsv	shell16_rowset_equality_90.tsv	yes	yes	contract_defined	medium	define_equality_before_scan
constructor_fingerprint	shell15_frontier_constructor_fingerprint_90.tsv	shell16_constructor_fingerprint_90.tsv	yes	yes	contract_defined	medium	define_constructor_fingerprint_before_attempt
runtime_loader	load_current_shell15_frontier_runtime_artifact_	load_current_shell16_frontier_runtime_artifact_	yes	yes	missing_future_path	medium	implement_only_when_shell16_attempt_starts
fallback_imported_source	support8_shell15_frontier_output_84	no_authoritative_shell16_imported_payload	limited	yes	guarded	high	do_not_use_shell15_or_imported_payload_as_shell16_result
tail_escape_link	shell16_regression_attempted_false_optional_ledger	shell16_escape_to_attempt_protocol	yes	no	preflight_contract_ready	medium	update_tail_and_minimal_escape_status
