input_key	statement_summary	current_validation_status	provenance_source	runtime_evidence_path	direct_use_in_bridge	limitations	can_be_used_as_verified_lemma
exact_minimal_basis_size_96	Exact minimal basis payload has size 96.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/exact_minimal_basis_generation_audit_90.tsv	finite_basis_substrate	does_not_imply_unrestricted_support_bound	1
basis_only_theorem_trio	Current n=5 exact and bounded n=6/n=7 basis-only theorem audits are verified.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/basis_only_generation_audit_90.tsv	finite_basis_only_closure	bounded_to_declared_n_c_ranges	1
bounded_family_chain_theorem	Bounded family-chain theorem object is current generated and self-verified.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/family_chain_generation_audit_90.tsv	bounded_family_obstruction_chain	bounded_family_chain_scope_only	1
family_chain_self_verification	Family-chain self verification reran against current constructor.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/family_chain_constructor_audit_90.tsv	self_check_of_family_constructor	not_general_structural_lift	1
family_chain_lower_layers_7_of_7	All seven family-chain lower layers are fresh current-runtime generated.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/family_chain_lower_layers_fingerprint_90.tsv	provenance_clean_family_lower_data	bounded_theorem_data_not_general_theorem	1
support8_antecedent15_shell_theorem	Support8 antecedent15 shell theorem is current verified.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/support8_antecedent15_shell_theorem_generation_audit_90.tsv	finite_shell15_support8_closure	shell16_not_attempted	1
support8_outside_bounded_tail_pattern_theorem	Support8 outside-bounded tail pattern theorem is current verified.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/support8_tail_stabilization_certificate_90.tsv	tail_pattern_finite_evidence	tail_exhaustion_not_claimed	1
support8_tail_obstruction_chain_theorem	Support8 tail obstruction chain theorem is current verified.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/support8_tail_obstruction_chain_notes_90.md	support8_tail_obstruction_chain	bridge_to_unrestricted_shell_missing	1
support8_authoritative_completion_lock	Support8 authoritative completion lock is current verified.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/support8_authoritative_completion_lock_notes_90.md	closed_support8_proof_slice_certificate	support8_specific	1
lower_frontier_direct_subset	Direct lower-frontier dependency subset is freshized.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/lower_frontier_ladder_generation_audit_90.tsv	direct_shell_theorem_dependencies	inventory_only_rows_excluded	1
lower_frontier_inventory_only_perimeter	Four shell11/shell12 inventory-only rows remain visible nonblocking perimeter rows.	current_verified_inventory	mixed_nonblocking	branch_4/90/runtime/lower_frontier_inventory_only_decision_90.tsv	perimeter_transparency	not_top_level_blocker	1
audit_substrate	Docs artifacts rerun and freshness audits are current verified.	current_verified	fresh_current_runtime_generated	branch_4/90/runtime/provenance_audit_report_90.md	trust_boundary_for_current_runtime	audit_correctness_not_generalization	1
top_level_provenance_inventory	Top-level provenance is fresh 16 imported 0 mixed 0 archival 3.	current_verified	fresh_current_runtime_generated_plus_archival_only	branch_4/90/runtime/provenance_audit_fingerprint_90.tsv	provenance_split	archival_notes_remain_historical	1
