obligation_key	statement	required_for_selected_statement	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_measure	dependency_on_payload_refinement	dependency_on_counterexample_status	dependency_on_family_chain_theorem	dependency_on_higher_support	can_attempt_now	recommended_next_action
status_language_well_defined	The bridge status language distinguishes preserved, reduced, refuted, absorbed, named blocker, higher-support escape, and not-applicable outcomes.	1	status_preservation_language_90.tsv	none	proved_under_current_scope	no	no	no	no	no	1	use_as_bridge_language
delete_redundant_status_case_classified	Delete-redundant status is classified as reduced to smaller witness under redundancy precondition.	1	support_reduction_selected_operation_skeleton_90.tsv	arbitrary-schema transfer proof	proved_under_current_scope	yes	possible	possible	no	no	1	use_as_closed_selected_case
project_to_active_status_case_classified	Project-to-active status is classified as preserved, reduced, named blocker, or deferred escape using the status skeleton.	1	project_to_active_status_skeleton_90.tsv	inactive-support status locality;normal-form/source-form transfer	proof_ready_skeleton_project_to_active_status_locality_open	yes	yes	yes	no	deferred	1	project_to_active_status_locality_refinement
coordinate_contraction_status_case_classified	Coordinate contraction status is classified as preserved/reduced if equivalent-coordinate congruence holds, otherwise named operation blocker.	1	contract_equivalent_status_skeleton_90.tsv	equivalent-coordinate counterexample-status congruence;normal-form/source-form transfer	proof_ready_skeleton_contract_equivalent_status_congruence_open	yes	yes	yes	no	deferred	1	canonical_compression_status_preservation
canonical_compression_status_case_classified	Canonical compression status is classified as reduced-to-smaller-witness if motif rewrite preserves/reduces status, otherwise named operation blocker.	1	canonical_motif_compression_skeleton_90.tsv	counterexample-status preservation under motif rewrite	case_classified_open_proof	yes	yes	yes	no	deferred	1	canonical_compression_status_preservation
family_chain_absorption_status_case_classified	Family-chain absorption status is classified as refuted, absorbed, reduced, named blocker, or higher-support escape.	1	family_chain_absorption_reduction_skeleton_90.tsv	residual measure;status preservation/refutation congruence	case_classified_open_proof	yes	yes	yes	yes	deferred	1	family_chain_absorption_status_preservation
frontier_capture_status_case_named	Frontier capture is named as downstream support<=8 limited-theorem input after valid reduction.	1	limited_bridge_theorem_status_90.tsv	none after valid reduction	proved_under_current_scope	no	no	no	no	no	1	use_after_reduction
tail_obstruction_status_case_named	Tail obstruction is named as checked support8 tail capture after valid reduction.	1	tail bridge TSVs;limited_bridge_theorem_status_90.tsv	none inside checked tail scope	proved_under_current_scope	no	no	no	no	no	1	use_after_reduction
higher_support_escape_status_case_named	Irreducible support>8 status failure is named as higher-support escape, not closed.	1	higher_support_escape_interface_90.tsv	higher-support bound after operation proofs close	proved_under_current_scope_as_partition	no	no	possible	no	yes_deferred	1	higher_support_bound_formalization_after_operation_proofs
status_reduction_requires_measure_decrease	Any status_reduced_to_smaller_witness claim requires strict selected support/canonical measure decrease.	1	support_bound_measure_90.tsv	none for classification	proved_under_current_scope	yes	no	no	no	no	1	use_as_guard
status_refutation_uses_valid_contradiction	Any status_refuted_by_contradiction claim requires a valid contradiction tied to the same payload/status branch.	1	family_chain_absorption_reduction_construction_90.tsv	payload/status theorem alignment	needs_family_chain_contradiction_sublemma	no	yes	yes	yes	no	1	family_chain_absorption_status_preservation
status_escape_cases_are_disjoint	Named operation blockers, higher-support escapes, not-applicable operations, and successful reductions are disjoint classes.	1	status_preservation_language_90.tsv;higher_support_escape_interface_90.tsv	arbitrary witness completeness	proof_sketch_ready	possible	possible	possible	possible	yes_deferred	1	canonical_compression_status_preservation
no_hidden_status_case	Every selected operation status branch is preserved, reduced, refuted, absorbed, named blocker, higher-support escape, or not applicable.	1	support_reduction_operation_status_table_90.tsv	arbitrary witness completeness proof	proof_sketch_ready	possible	possible	possible	possible	yes_deferred	1	canonical_compression_status_preservation
