component_key	definition	runtime_analogue	mathematical_role	relation_to_current_operation	relation_to_canonicalization	relation_to_payload_refinement	relation_to_counterexample_status	current_status	caveat
support_coordinate	An element of the finite support set of a normal witness.	support_notation_and_normal_form_90.tsv	Domain element for support measure and witness fields.	Contraction chooses at least two coordinates.	Coordinates are later renamed canonically.	Coordinates index payload components.	Coordinates may index certificate/status fields.	proved_under_current_scope	Only inside normal support witness contract.
coordinate_role	The tuple of syntactic positions in payload, certificate, frontier, shell, tail, motif, and family-chain fields where a coordinate appears.	support_gt8_witness_anatomy_90.tsv	Defines dependency profile.	Equivalence compares roles before quotienting.	Canonical roles must be compatible after renaming.	Role equality is a payload-refinement precondition.	Status role equality is required for status transfer.	proof_sketch_ready	Role extraction for arbitrary witnesses is still a contract.
equivalent_support_coordinates	Two coordinates are equivalent when their selected syntactic role, payload role, canonical motif role, and status role are pairwise congruent under the current witness contract.	contract_equivalent_support_coordinates_operation_semantics_90.tsv	Permits quotient construction.	Core equivalence relation for this operation.	Must be stable under canonical renaming.	Requires payload congruence.	Requires counterexample-status congruence; this remains open.	proof_sketch_ready	Not every apparent symmetry is accepted.
syntactic_equivalence	Coordinates have identical occurrence patterns in the presented normal-form fields after allowed renaming.	canonical row profile	Computable sufficient relation.	Provides a concrete contract for quotient input.	Interacts with canonical relabeling.	May imply payload equivalence only with payload congruence.	Does not by itself prove status preservation.	proved_under_current_scope_as_definition	Not a semantic theorem.
semantic_equivalence	Replacing either coordinate by the other preserves all witness predicates relevant to the current obstruction.	semantic witness contract	Strong relation needed for full correctness.	Would justify contraction if proved.	Should be canonicalization invariant.	Would imply payload refinement.	Would imply counterexample-status preservation.	proof_sketch_ready	Not fully proved for arbitrary support-growth witnesses.
canonical_motif_equivalence	Coordinates are indistinguishable by canonical motif rank and row equality data.	family_chain_canonical_lift_soundness_90.tsv	Prevents quotient from changing motif class.	Contraction requires it when motif fields are active.	Adjacent to canonical motif compression but not identical.	Supports canonical quotient refinement.	Does not prove counterexample status alone.	proof_sketch_ready	Do not confuse with canonical motif compression.
payload_equivalence	All payload components indexed by the coordinates are equal or refine to a single quotient component.	family_chain_payload_refinement_relation_90.tsv	Preserves obstruction payload relation.	Required before claiming payload-preserving contraction.	Canonicalized payload must agree after quotient.	Directly supports payload refinement.	Status preservation needs more.	proof_sketch_ready	Payload equality and refinement remain distinct.
counterexample_status_equivalence	Counterexample certificate/status predicates are invariant when equivalent coordinates are identified.	family_chain_counterexample_status_preservation_90.tsv	Preserves or reduces counterexample status.	Required for status-preserving contraction.	Canonical status fields must commute with quotient.	Not just payload equivalence.	Primary blocker for completion.	blocked_by_counterexample_status	No unconditional status preservation claim.
family_chain_source_equivalence	Equivalent coordinates occupy interchangeable family-chain layer roles after quotienting.	family_chain_lift_phase3_skeleton_90.tsv	Keeps recognized source form after contraction.	Needed when contraction is used in family-chain branch.	Depends on layer projection/canonical proof-ready skeleton.	Supports family-chain payload transfer.	Status preservation still separate.	proof_sketch_ready	Recognized-source only, not arbitrary witness completeness.
equivalence_relation_laws	Within accepted equivalence classes, reflexive, symmetric, and transitive closure is used to form quotient classes.	partition of support set	Produces valid classes.	Used to define quotient coordinate set.	Canonical representative chosen after quotient.	Payload congruence must respect closure.	Status congruence under closure remains open.	proved_under_current_scope	Only for accepted relation, not all semantic equivalences.
equivalence_class	A nonempty block of support coordinates under the accepted equivalence relation.	quotient block	Unit contracted to one coordinate.	Nontrivial class gives smaller support.	Representative canonicalized after contraction.	Payload components merge through refinement.	Status components merge only under status congruence.	proved_under_current_scope	Singleton classes are no-op.
quotient_coordinate	The representative coordinate replacing one equivalence class in the quotient support set.	contracted support index	Output coordinate after contraction.	Target coordinate in contracted witness.	May be chosen then normalized canonically.	Carries merged payload component.	Carries merged status only if congruent.	proved_under_current_scope	Representative choice must not be read as canonical proof.
equivalence_failure_escape	Failure to prove equivalence or congruence routes to a named blocker, later operation, or higher-support escape after operations are exhausted.	higher_support_escape_interface_90.tsv	Prevents hidden failure class.	Defines operation non-application.	May route to canonical motif compression.	Payload failure routes to payload blocker.	Status failure routes to status blocker.	proved_under_current_scope_as_partition	Named escape is not closure.
final_status	Equivalent coordinate notation is contract-ready with syntactic/class/quotient notions first-class and status congruence open.	all	Notation boundary.	Supports contraction skeleton.	Canonicalization compatibility proof remains partial.	Payload congruence proof-sketch.	Counterexample-status congruence blocked.	equivalent_support_coordinate_notation_contract_ready	No full operation theorem.
