sublemma_key	proof_status	assumptions	conclusion	proof_summary	evidence_path	missing_hypothesis	next_action
layer_projection_well_defined	proved_under_current_scope	recognized source form and phase2 correspondence	each selected layer projection has declared source and target payload components	The phase2 correspondence table covers pair52, triple53, quad55, quint57, sext57, sept57, and high57.	branch_4/90/runtime/family_chain_layer_projection_payload_preservation_90.tsv	none	use_as_projection_contract
layer_projection_preserves_payload_refinement	proof_sketch_only	layer projection is declared	layer projection should preserve payload refinement	Every layer has a proof-ready missing sublemma; no current proof establishes semantic preservation for all layers.	branch_4/90/runtime/family_chain_layer_projection_payload_preservation_90.tsv	layer-specific projection payload preservation	family_chain_lift_phase4_if_needed
canonical_lift_commutes_or_refines	proof_sketch_only	source and target canonical rows are declared	canonical lift should commute or refine	Canonical lift rows and target rows are declared, but commutation is not proved for all layers.	branch_4/90/runtime/family_chain_canonical_lift_soundness_90.tsv	canonical_lift_soundness_sublemma	family_chain_lift_phase4_if_needed
canonical_lift_soundness_implies_payload_refinement	proof_sketch_only	canonical lift commutes/refines	whole-payload refinement follows after layerwise proof	This composition is proof-ready but depends on layer projection and canonical soundness proofs.	branch_4/90/runtime/family_chain_payload_refinement_relation_90.tsv	composition under canonical quotient	family_chain_lift_phase4_if_needed
payload_refinement_implies_obstruction_preservation	proof_sketch_only	layerwise refinement and canonical soundness hold	obstruction payload is preserved	The semantic bridge is now isolated, but not proved as a theorem.	branch_4/90/runtime/family_chain_obstruction_payload_semantics_90.tsv	obstruction-preservation semantic theorem	family_chain_lift_phase4_if_needed
obstruction_preservation_implies_counterexample_status_preservation	blocked_by_status_preservation	obstruction payload is preserved	counterexample status is preserved	This remains outside the selected phase3 target and requires a status preservation theorem.	branch_4/90/runtime/family_chain_counterexample_status_preservation_theorem_90.tsv	status preservation theorem	after_projection_or_operation
status_nonpreservation_yields_smaller_witness	blocked_by_smaller_witness	status preservation fails	smaller witness is constructed	This is operation-specific and should move to support-reduction operation proof.	branch_4/90/runtime/family_chain_operation_specific_smaller_witness_90.tsv	operation-specific smaller-witness construction	prove_support_reduction_operation_sublemma
operation_specific_smaller_witness_measure_decreases	proved_under_current_scope	actual smaller operation output witness exists	support measure strictly decreases	The measure decrease is immediate once an output witness with smaller tuple is constructed.	branch_4/90/runtime/support_bound_measure_90.tsv	actual operation output witness	use_after_operation_construction
phase3_failure_is_named_escape	proved_under_current_scope	projection/canonical/status/construction proof missing	case routes to named blocker or escape	The higher-support interface already names projection/canonical/status/operation failures.	branch_4/90/runtime/higher_support_escape_interface_90.tsv	higher-support bound for closure	higher_support_necessity_recheck
no_hidden_phase3_failure_case	proof_sketch_only	phase3 inventories are applied	no hidden phase3 failure case remains	The inventory enumerates projection, canonicalization, status, smaller-witness, and escape cases; arbitrary completeness remains proof-sketch.	branch_4/90/runtime/family_chain_lift_phase3_obligation_inventory_90.tsv	arbitrary witness completeness proof	higher_support_necessity_recheck
