metric	value
lemma_name	canonical_compression_status_preserved_reduced_or_escape
selected_statement	canonical_compression_status_or_escape
exact_statement	For a normal witness W with accepted canonical motif compression M->M_comp, W_comp=normalize(rewrite(W,M,M_comp)) preserves counterexample status, reduces to a smaller counterexample witness, or routes failure to a named operation blocker/deferred higher-support escape.
assumption_count	10
conclusion	Canonical-compression status blocker is reduced to canonical-motif status congruence, compressed-witness normal-form transfer, smaller-witness fallback, and named escape classification.
canonical_motif_definition	Finite canonical motif with support, payload, certificate-role, and motif-rank data.
compressed_witness_relation	W_comp=normalize(rewrite(W,M,M_comp))
motif_congruence_lemma_status	canonical_motif_status_congruence_payload_ready_status_congruence_open
payload_preservation	proof_sketch_ready_under_motif_payload_congruence
counterexample_status_preservation	proof_sketch_ready_if_canonical_motif_status_congruence_and_normal_form_hold
smaller_witness_fallback	proof_sketch_ready_if_compressed_status_is_valid_reduced_counterexample
measure_decrease_use	proved_under_current_scope_for_accepted_compressible_motif
normal_form_preservation	proof_sketch_ready
family_chain_source_form_preservation	proof_sketch_ready
failure_to_escape_case	proved_under_current_scope_as_named_operation_blocker_or_deferred_higher_support_escape
relation_to_coordinate_contraction	separate_operation_contraction_quotients_equivalent_coordinates_compression_rewrites_canonical_motif
relation_to_project_to_active_status	separate_operation_project_to_active_removes_inactive_support_compression_preserves_or_rewrites_active_canonical_motif
relation_to_status_congruence_bridge	refines_canonical_compression_row_from_blocked_by_status_preservation_to_proof_ready_status_congruence_open
canonical_compression_status_obligation_count	11
proved_under_current_scope_sublemma_count	2
proof_sketch_only_sublemma_count	5
blocked_sublemma_count	1
missing_steps	canonical-motif counterexample-status congruence;normal-form preservation under motif rewrite;payload-refinement transfer;family-chain source-form preservation;valid reduced-status fallback
exact_caveat	canonical_compression_status_not_proved_canonical_compression_operation_not_fully_proved_full_support_reduction_not_proved
final_status	proof_ready_skeleton_canonical_compression_status_congruence_open
next_blocker	family_chain_absorption_status_preservation
