domain_component	definition	source_condition	contracted_condition	transfer_rule	proof_requirement	failure_effect	current_status	caveat
source_status_domain	The domain on which the source counterexample-status predicate is evaluated.	W normal;status predicate defined over S	status inputs indexed by S	identity before quotient	status dependency extraction	incomplete extraction blocks comparison	proof_sketch_ready	Source domain is not enough for quotient preservation.
quotient_status_domain	The domain on which the contracted witness status predicate is evaluated.	q:S->S/~;W_contract defined	status inputs indexed by S/~	quotient domain after pushforward	quotient status-domain definition	ill-formed quotient status becomes named blocker	proof_sketch_ready	Quotient status domain may differ from source.
domain_projection	The map from source status inputs to quotient status inputs.	accepted equivalence classes fixed	each input maps through q	pushforward of status dependencies	status dependency compatibility per class	incompatible status inputs block preservation	proof_sketch_ready	Not payload congruence alone.
domain_quotient	The quotient relation induced on status predicate inputs.	status roles compatible inside each class	merged input has one quotient role	identify equivalent status roles	status/certificate-role congruence	missing role congruence is named blocker	proof_ready_open	Needs status-domain sublemma.
domain_equivalence	Source and quotient domains are equivalent for status evaluation.	payload/status/domain inputs all compatible	W and W_contract comparable	status predicate domain invariant	payload+status dependency theorem	status comparison not well-defined	blocked_by_status_domain	Status predicate congruence depends on this.
domain_preserved_case	No status-domain information is lost by quotient.	status dependencies constant on equivalence classes	W_contract same status domain up to quotient	status preservation branch	domain equivalence and normal form	failure routes to reduction or blocker	proof_sketch_ready	Conditional only.
domain_refined_case	Quotient changes representation but remains a valid reduced status domain.	nontrivial quotient;contracted status valid	W_contract valid reduced witness	reduction branch	valid reduced-status theorem	failure routes to named blocker	proof_sketch_ready	Uses measure decrease, not preservation.
domain_lost_case	Status domain is not compatible after quotient.	status inputs not constant on class	W_contract not comparable	no preservation claim	named failure classification	named coordinate-contraction blocker	proved_under_current_scope_as_partition	Classification only.
domain_escape_case	Domain failure cannot be resolved by current operation proof obligations.	operation blockers remain after refinement	possible higher-support only after operation proofs	close operations first	higher-support bound later	deferred higher-support escape	higher_support_deferred	No support9+ scan.
normal_form_relation	Domain transfer requires quotient normal form.	pushforward(W,q) defined	W_contract normalized	status predicate applicable	normal-form transfer proof	normal-form failure blocks status congruence	proof_ready_normal_form_open	Separate from status-domain transfer.
payload_refinement_relation	Payload congruence feeds domain transfer but does not imply it alone.	payload roles compatible	payload carriers merged	payload side of quotient	layerwise payload proof	status may still fail	proof_sketch_ready	Payload congruence is insufficient for status congruence.
counterexample_status_predicate_relation	Status predicate congruence follows only after payload, domain, and normal-form transfer.	all transfer premises hold	W and W_contract comparable	predicate equality/refinement	counterexample-status congruence theorem	failure named as blocker	blocked_by_counterexample_status	No proof-completed promotion.
