metric	value
selected_operation	canonical_motif_compression
notation_status	canonical_motif_notation_contract_ready
semantics_status	canonical_motif_compression_semantics_contract_ready
smaller_witness_status	canonical_motif_compression_smaller_witness_lex_measure_proved_status_open
obligation_count	12
proved_under_current_scope_sublemma_count	6
proof_sketch_only_sublemma_count	3
blocked_sublemma_count	1
final_status	partial_compression_proved_escape_open
fingerprint	canonical_motif_compression|notation_contract|semantics_contract|lex_measure_proved|6|3|1|partial_compression_proved_escape_open
