metric	value
constructor_name	load_current_high_family_expansion_theorem_data_57_runtime_artifact_
authoritative_source	current_runtime_high_family_expansion_theorem_data_57_cache
pass1_builder_used	0
cache_loaded	1
cache_load_path	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_4/90/runtime/high_family_expansion_theorem_data_57_payload_90.tsv
upstream_septuple57_fallback_hit	0
upstream_sextuple57_fallback_hit	0
upstream_quintuple57_fallback_hit	0
upstream_quad55_fallback_hit	0
upstream_triple53_fallback_hit	0
upstream_pair52_fallback_hit	0
fallback_reachable	1
fallback_hit	0
runtime_fingerprint	fresh|current_runtime_high_family_expansion_theorem_data_57_cache|load_current_high_family_expansion_theorem_data_57_runtime_artifact_|0|1|8|7|1|1926|1926|294|0|0|0|317:16323892766005099572|57|regions=8|sextuple=7|septuple=1|raw=1926|canonical=1926|deduplicated=294|local=0|plus=0|theorem=0|counts_and_consumer_visible_fingerprint_equal|2729415:14502595494155092201|1|0|0|0|0|0|0|0||Current authoritative path loaded a validated runtime high-family aggregate 57 artifact; upstream septuple57, sextuple57, quintuple57, quad55, triple53, and pair52 stayed fresh with fallback_hit=0.
