metric	value
target_subset	family_chain_output_57
previous_provenance_label	current_runtime_validated_imported_data
current_provenance_label	fresh_current_runtime_generated
generation_path	build_current_family_chain_output_57_theorem_objects_
runtime_generation_fingerprint	fresh|7|21|35|35|21|7|1|0|0|0|1|build_current_family_chain_output_57_theorem_objects_||build_current_family_chain_output_57_theorem_objects_|0|authoritative family-chain theorem objects are rebuilt in the current runtime and pair-expansion aggregate 52 is current constructor/cache-backed; triple-family theorem data 53 is current constructor/cache-backed; quadruple-family theorem data 55 is current constructor/cache-backed; quintuple-family theorem data 57 is current constructor/cache-backed; sextuple-family theorem data 57 is current constructor/cache-backed; septuple-family theorem data 57 is current constructor/cache-backed; high-family theorem data 57 is current constructor/cache-backed; family-chain lower-layer caveat closed
single_family_regions	7
pair_regions	21
triple_regions	35
quadruple_regions	35
quintuple_regions	21
sextuple_regions	7
septuple_regions	1
self_verified	1
blocker	
constructor_name	build_current_family_chain_output_57_theorem_objects_
fallback_hit	0
caveat	authoritative family-chain theorem objects are rebuilt in the current runtime and pair-expansion aggregate 52 is current constructor/cache-backed; triple-family theorem data 53 is current constructor/cache-backed; quadruple-family theorem data 55 is current constructor/cache-backed; quintuple-family theorem data 57 is current constructor/cache-backed; sextuple-family theorem data 57 is current constructor/cache-backed; septuple-family theorem data 57 is current constructor/cache-backed; high-family theorem data 57 is current constructor/cache-backed; family-chain lower-layer caveat closed
