metric	value
lemma_name	support_minimal_counterexample_reduces_to_support8_or_escape
skeleton_status	proof_ready_skeleton_all_primary_operations_status_proof_ready_residual_congruence_open
support_reduction_status	partition_ready_all_primary_operations_status_proof_ready_residual_congruence_open
status_congruence_status	partial_status_congruence_all_primary_operations_proof_ready_residual_congruence_open
project_to_active_status	proof_ready_skeleton_project_to_active_status_locality_open
coordinate_contraction_status	proof_ready_skeleton_contract_equivalent_status_congruence_open
canonical_compression_status	proof_ready_skeleton_canonical_compression_status_congruence_open
family_chain_absorption_status	proof_ready_skeleton_family_chain_absorption_status_refutation_measure_open
higher_support_escape_status	higher_support_deferred_after_family_chain_absorption_status_refutation_measure_open
next_blocker	project_to_active_status_locality_refinement
fingerprint	support_bound|all_primary_status_proof_ready|residual_congruence_open
