metric	value
selected_scope	shell16_candidate_universe_dry_run
scope_candidate_count	4
dependency_component_count	12
artifact_contract_count	9
document_contract_count	6
audit_gate_count	10
feasibility_label	promotion_review_completed_local_exact_nonblocking
guardrail_status	attempt_completed_no_promotion_guard_active
attempt_protocol_status	attempt_protocol_ready
shell16_full_scan_executed	0
shell16_theorem_promotion_allowed	0
shell16_survivor_zero_claim_allowed	0
next_exact_target	family_chain_lift_map_refinement
fingerprint	shell16_candidate_universe_dry_run|12|9|6|10|promotion_review_completed_local_exact_nonblocking|attempt_completed_no_promotion_guard_active|family_chain_lift_map_refinement
