component_key	definition	runtime_analogue	mathematical_role	relation_to_current_operation	relation_to_family_chain_theorem	relation_to_payload_refinement	relation_to_counterexample_status	current_status	caveat
family_chain_absorption	A local operation that maps an absorbable support-growth component to a bounded family-chain target and then either refutes the component or removes it from the witness.	family_chain_support_absorption_90.tsv	operation-specific reduction or closure	central operation target	uses theorem only after target applicability is established	needs payload relation to connect source and target	needs preservation or refutation of counterexample status	contract_ready	Not the same as the lift map or theorem applicability.
absorbable_support_growth_witness	A normal support>8 witness with a recognized family-chain component matching an absorption trigger.	family_chain_operation_specific_smaller_witness_90.tsv	input class for absorption	current input condition	theorem applies only to the matched bounded target	payload must be restricted or refined through the matched component	status transfer remains open	proof_sketch_ready	Recognized source-form only; not arbitrary support-growth witness.
absorbed_family_chain_object	The bounded target object constructed from the trigger component and lower-layer package.	family_chain_lower_layers_fingerprint_90.tsv	target object	operation builds this object	before theorem use, object must be in fresh package	payload must agree with source target correspondence	counterexample refutation is conditional	proof_sketch_ready	Freshness proves availability, not semantic preservation.
absorption_trigger	A predicate identifying a family-chain component that can be routed to a bounded theorem target.	family_chain_absorption_reduction_scope_inventory_90.tsv	precondition	determines whether operation applies	not the theorem statement	payload effect depends on trigger contents	status effect depends on trigger contents	contract_ready	Trigger failure is not hidden; it is named.
absorption_target_layer	The lower-layer family-chain level selected by the trigger.	family_chain_lower_layers_inventory_90.tsv	target selection	selects theorem-data layer	bounded theorem scope is layer-specific	payload relation is layerwise	status relation is layerwise	proof_sketch_ready	Layer selection does not prove arbitrary absorption.
absorption_payload	The payload carried from source component to target object.	family_chain_payload_refinement_relation_90.tsv	semantic payload	needed for contradiction or smaller witness	theorem only sees target payload	payload refinement is required	status preservation depends on payload semantics	proof_sketch_ready	Payload preservation is not completed here.
absorption_contradiction	A branch where theorem applicability refutes the alleged obstruction instead of constructing a smaller witness.	family_chain_support_absorption_90.tsv	closure branch	one possible operation output	direct use of bounded theorem after applicability	payload/status must identify the same obstruction	counterexample is refuted, not merely preserved	proof_sketch_ready	Contradiction branch is distinct from smaller-witness branch.
absorption_to_smaller_witness	A branch where the absorbable component is removed or replaced to form a strictly smaller witness candidate.	support_bound_measure_90.tsv	reduction branch	alternative operation output	theorem may justify removal of component	payload must be preserved or refined	status must be preserved or reduced	blocked_by_measure	Strict measure decrease is not proved for every absorption branch.
absorption_vs_family_chain_lift	Lift constructs target representation; absorption uses a target to close or reduce a source branch.	family_chain_lift_skeleton_90.tsv	scope separation	prevents conflation	lift is an input, not the operation	payload relation passes through lift	status relation passes through lift	contract_ready	Lift readiness is not absorption proof.
absorption_vs_theorem_applicability	Theorem applicability says a constructed target is in bounded scope; absorption decides what that implies for the source witness.	limited_bridge_theorem_status_90.tsv	scope separation	prevents conflation	theorem applicability is one sublemma	payload transfer remains separate	status transfer remains separate	contract_ready	Applicability alone does not build a smaller witness.
absorption_vs_lower_layer_freshness	Lower-layer 7/7 freshness gives current theorem-data availability but not source-target semantic equality.	family_chain_lower_layers_fingerprint_90.tsv	provenance boundary	guards overclaim	supports target object existence	does not prove payload refinement	does not prove counterexample preservation	contract_ready	Fresh data is not a preservation theorem.
absorption_failure	Operation cannot apply because trigger, target, theorem applicability, measure decrease, payload transfer, or status transfer fails.	higher_support_escape_interface_90.tsv	failure taxonomy	routes failure to named blocker or escape	not theorem closure	payload failure is explicit	status failure is explicit	contract_ready	Failure is not silently treated as success.
absorption_escape	Named residual branch after absorption does not close or reduce the witness under current scope.	higher_support_escape_interface_90.tsv	escape interface	remaining branch after failed operation	outside proved absorption	payload/status unresolved or not applicable	counterexample unresolved	classified_as_escape	Not closed without higher-support or status-congruence proof.
relation_to_support_measure	The smaller-witness branch must strictly decrease support size or the selected lexicographic support tuple.	support_bound_measure_90.tsv	measure contract	needed only for reduction branch	not theorem applicability	payload-neutral	status-neutral	blocked_by_measure	Contradiction branch need not be a smaller witness.
relation_to_counterexample_status	The operation must preserve, reduce, or refute counterexample status; these are separate outcomes.	family_chain_counterexample_status_preservation_theorem_90.tsv	status contract	blocks completion unless proved	theorem refutes only matched bounded target	payload relation is prerequisite	status preservation remains open	blocked_by_counterexample_status	Do not conflate preservation, reduction, and refutation.
relation_to_higher_support_escape	Non-absorbable or preservation-failed residual cases remain named higher-support/status-congruence blockers.	higher_support_escape_interface_90.tsv	escape boundary	defers closure until next target	not a theorem application	payload/status may be unresolved	counterexample remains unresolved	classified_as_escape	No support9+ scan is started here.
