region_index	kind	region_fingerprint	source_family_fingerprints	symbol_bound	antecedent_bound	raw_candidates	canonical_candidates	out_of_pool_candidates	local_exact_survivors	plus_one_survivors	theorem_preserving_survivors	why
0	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)	7	3	64	64	64	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) raw=75 canonical=64 outOfPool=64 ; bounded out-of-pool expansion region scanned
1	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	7	3	14	14	14	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) raw=14 canonical=14 outOfPool=14 ; bounded out-of-pool expansion region scanned
2	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	7	3	28	28	28	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=28 canonical=28 outOfPool=28 ; bounded out-of-pool expansion region scanned
3	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	81	81	81	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=123 canonical=81 outOfPool=81 ; bounded out-of-pool expansion region scanned
4	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	64	64	64	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=6 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=75 canonical=64 outOfPool=64 ; bounded out-of-pool expansion region scanned
5	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)	7	3	64	64	64	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) raw=75 canonical=64 outOfPool=64 ; bounded out-of-pool expansion region scanned
6	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	7	3	35	35	35	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=42 canonical=35 outOfPool=35 ; bounded out-of-pool expansion region scanned
7	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1)	7	3	64	64	64	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=6 antecedents=[(1,2->1) (2,3->2) (3,4->1)] => (2,3->1) raw=75 canonical=64 outOfPool=64 ; bounded out-of-pool expansion region scanned
8	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3)||n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3);n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3)	7	3	39	39	39	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->2) (2,4->4)] => (2,3->3) + n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,3->3) raw=50 canonical=39 outOfPool=39 ; bounded out-of-pool expansion region scanned
9	triple_merged	triple:n=5 antecedents=[(2,3->4)] => (2,3->2)||n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1)||n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	n=5 antecedents=[(2,3->4)] => (2,3->2);n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1);n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1)	7	3	28	28	28	0	0	0	tripleMergedFamilies=n=5 antecedents=[(2,3->4)] => (2,3->2) + n=5 antecedents=[(2,3->1) (2,4->2)] => (2,4->1) + n=5 antecedents=[(2,3->1) (2,4->4)] => (2,4->1) raw=28 canonical=28 outOfPool=28 ; bounded out-of-pool expansion region scanned
