metric	value
candidate_key	shell16_readiness
readiness_label	preflight_contract_ready_no_scan
shell16_scan_executed	0
shell16_regression_attempted_in_current_tail_data	0
shell15_pattern_reusable	1
candidate_universe_first_class	1
artifact_contract_defined	1
required_docs_artifacts_need_expansion	no_current_gate_expansion_preflight_contract_only
expected_runtime_cost	medium_to_high
tail_theorem_relationship	extension_or_regression_test_not_current_lock_requirement
failure_mode	finite_survivor_counterexample_or_runtime_feasibility_blocker
success_sufficient_for_general_theorem	0
guardrail	required_artifact_contract_cost_cap_no_lock_gate_weakening_no_theorem_promotion
preflight_scope	shell16_candidate_universe_dry_run
preflight_guardrail_status	preflight_contract_ready_no_scan
recommended_next_action	shell16_attempt
