metric	value
basis_generation_label	fresh_current_runtime_generated
family_generation_label	fresh_current_runtime_generated
basis_generation_fingerprint	fresh|2291|5621|335|1|1|1|current_runtime_basis_only_exhaustive_rerun|current_runtime_exact_minimal_basis_payload_cache|n=2 antecedents=[] => (1,2->1)|n=3 antecedents=[] => (1,2->1)|n=4 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)|n=4 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)|n=4 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)|n=4 antecedents=[(2,3->4)] => (2,4->4)|n=4 antecedents=[] => (1,2->1)|n=5 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)|n=5 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)|n=5 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,5->2)|n=5 antecedents=[(2,3->2) (2,4->4) (3,5->4)] => (2,5->4)|n=5 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)|n=5 antecedents=[(2,3->2) (2,4->5)] => (3,4->5)|n=5 antecedents=[(2,3->4)] => (2,4->4)|n=5 antecedents=[] => (1,2->1)|n=6 antecedents=[(2,3->1) (2,4->2)] => (3,4->1)|n=6 antecedents=[(2,3->1) (2,4->4)] => (3,4->1)|n=6 antecedents=[(2,3->2) (2,4->2) (3,4->5)] => (2,5->2)|n=6 antecedents=[(2,3->2) (2,4->4) (3,5->4)] => (2,5->4)|n=6 antecedents=[(2,3->2) (2,4->4)] => (3,4->4)|n=6 antecedents=[(2,3->2) (2,4->5)] => (3,4->5)|n=6 antecedents=[(2,3->4)] => (2,4->4)|n=6 antecedents=[] => (1,2->1)|n=7 antecedents=[(2,3->1) (2,7->2)] => (3,7->1)|n=7 antecedents=[(2,3->1) (2,7->7)] => (3,7->1)|n=7 antecedents=[(2,3->1) (3,7->3)] => (2,7->1)|n=7 antecedents=[(2,3->1) (3,7->7)] => (2,7->1)|n=7 antecedents=[(2,3->2) (2,6->7)] => (3,6->7)|n=7 antecedents=[(2,3->2) (2,7->7)] => (3,7->7)|n=7 antecedents=[(2,3->2) (3,7->3)] => (2,7->2)|n=7 antecedents=[(2,3->4) (2,7->2)] => (3,7->4)|n=7 antecedents=[(2,3->4) (3,7->3)] => (2,7->4)|n=7 antecedents=[(2,4->2) (4,7->4)] => (2,7->2)|n=7 antecedents=[(2,4->4) (2,7->2)] => (4,7->4)|n=7 antecedents=[(2,4->4) (4,6->7)] => (2,6->7)|n=7 antecedents=[(2,4->4) (4,7->6)] => (2,7->6)|n=7 antecedents=[(2,4->4) (4,7->7)] => (2,7->7)|n=7 antecedents=[(2,4->5) (2,7->2)] => (4,7->5)|n=7 antecedents=[(2,4->5) (4,7->4)] => (2,7->5)|n=7 antecedents=[(2,5->4) (2,7->2)] => (5,7->4)|n=7 antecedents=[(2,5->5) (2,7->1)] => (5,7->1)|n=7 antecedents=[(2,5->5) (2,7->2)] => (5,7->5)|n=7 antecedents=[(2,5->5) (5,6->7)] => (2,6->7)|n=7 antecedents=[(2,5->5) (5,7->7)] => (2,7->7)|n=7 antecedents=[(2,6->7)] => (2,7->7)|n=7 antecedents=[(2,6->7)] => (6,7->7)|n=7 antecedents=[(2,7->1) (6,7->7)] => (2,6->1)|n=7 antecedents=[(3,4->1) (3,7->3)] => (4,7->1)|n=7 antecedents=[(3,4->1) (4,7->4)] => (3,7->1)|n=7 antecedents=[(3,4->1) (4,7->7)] => (3,7->1)|n=7 antecedents=[(3,4->3) (4,7->4)] => (3,7->3)|n=7 antecedents=[(3,4->4) (3,7->3)] => (4,7->4)|n=7 antecedents=[(3,4->4) (3,7->6) (4,6->6)] => (4,7->6)|n=7 antecedents=[(3,4->4) (4,6->7)] => (3,6->7)|n=7 antecedents=[(3,4->4) (4,7->6)] => (3,7->6)|n=7 antecedents=[(3,4->4) (4,7->7)] => (3,7->7)|n=7 antecedents=[(3,4->5) (3,7->3)] => (4,7->5)|n=7 antecedents=[(3,4->5) (4,7->4)] => (3,7->5)|n=7 antecedents=[(3,5->1) (3,7->3)] => (5,7->1)|n=7 antecedents=[(3,5->1) (3,7->7)] => (5,7->1)|n=7 antecedents=[(3,5->1) (5,7->5)] => (3,7->1)|n=7 antecedents=[(3,5->1) (5,7->7)] => (3,7->1)|n=7 antecedents=[(3,5->5) (3,7->3)] => (5,7->5)|n=7 antecedents=[(3,5->5) (5,6->7)] => (3,6->7)|n=7 antecedents=[(3,5->5) (5,7->7)] => (3,7->7)|n=7 antecedents=[(3,6->7)] => (3,7->7)|n=7 antecedents=[(3,6->7)] => (6,7->7)|n=7 antecedents=[(3,7->1) (6,7->7)] => (3,6->1)|n=7 antecedents=[(3,7->6)] => (3,6->6)|n=7 antecedents=[(3,7->6)] => (6,7->6)|n=7 antecedents=[(4,5->2) (4,7->4)] => (5,7->2)|n=7 antecedents=[(4,5->3) (4,7->4)] => (5,7->3)|n=7 antecedents=[(4,5->4) (4,6->7)] => (5,6->7)|n=7 antecedents=[(4,5->4) (4,7->7)] => (5,7->7)|n=7 antecedents=[(4,5->4) (5,7->5)] => (4,7->4)|n=7 antecedents=[(4,5->5) (4,7->4)] => (5,7->5)|n=7 antecedents=[(4,5->5) (5,6->7)] => (4,6->7)|n=7 antecedents=[(4,5->5) (5,7->1)] => (4,7->1)|n=7 antecedents=[(4,5->5) (5,7->7)] => (4,7->7)|n=7 antecedents=[(4,6->7)] => (4,7->7)|n=7 antecedents=[(4,6->7)] => (6,7->7)|n=7 antecedents=[(4,7->1) (6,7->7)] => (4,6->1)|n=7 antecedents=[(4,7->6)] => (4,6->6)|n=7 antecedents=[(4,7->6)] => (6,7->6)|n=7 antecedents=[(5,6->7)] => (5,7->7)|n=7 antecedents=[(5,6->7)] => (6,7->7)|n=7 antecedents=[(5,7->1) (6,7->7)] => (5,6->1)|n=7 antecedents=[(6,7->2)] => (2,6->2)|n=7 antecedents=[(6,7->2)] => (2,7->2)|n=7 antecedents=[(6,7->3)] => (3,6->3)|n=7 antecedents=[(6,7->3)] => (3,7->3)|n=7 antecedents=[(6,7->4)] => (4,6->4)|n=7 antecedents=[(6,7->4)] => (4,7->4)|n=7 antecedents=[(6,7->5)] => (5,6->5)|n=7 antecedents=[(6,7->5)] => (5,7->5)|n=7 antecedents=[] => (1,7->1)
family_generation_fingerprint	fresh|7|21|35|35|21|7|1|0|0|0|1|build_current_family_chain_output_57_theorem_objects_||build_current_family_chain_output_57_theorem_objects_|0|authoritative family-chain theorem objects are rebuilt in the current runtime and pair-expansion aggregate 52 is current constructor/cache-backed; triple-family theorem data 53 is current constructor/cache-backed; quadruple-family theorem data 55 is current constructor/cache-backed; quintuple-family theorem data 57 is current constructor/cache-backed; sextuple-family theorem data 57 is current constructor/cache-backed; septuple-family theorem data 57 is current constructor/cache-backed; high-family theorem data 57 is current constructor/cache-backed; family-chain lower-layer caveat closed
basis_promoted_item_count	4
family_promoted_item_count	2
basis_payload_constructor	load_current_exact_minimal_basis_payload_runtime_artifact_
basis_payload_fallback_hit	0
basis_payload_minimality_status	proof_motif_exact_minimal_basis_supported
family_constructor_name	build_current_family_chain_output_57_theorem_objects_
