obligation_key	statement	required_for_selected_operation	existing_verified_inputs	missing_sublemmas	proof_status	dependency_on_active_support	dependency_on_measure	dependency_on_normal_form	dependency_on_payload_refinement	dependency_on_counterexample_status	dependency_on_family_chain_lift	dependency_on_higher_support	can_attempt_now	recommended_next_action
active_support_well_defined	Active support is a finite subset of the support set computed from payload, certificate/status, motif, frontier/shell/tail, and family-chain fields.	1	active_support_notation_90.tsv;support_gt8_witness_anatomy_90.tsv	arbitrary witness dependency extraction	proved_under_current_scope	yes	no	possible	possible	possible	possible	no	1	use_project_to_active_contract
projection_output_well_defined	Restricting the witness to active support defines an output object when all required fields are contained in active support.	1	project_to_active_support_operation_semantics_90.tsv	none inside active-support containment precondition	proved_under_current_scope	yes	no	yes	possible	possible	possible	no	1	use_project_to_active_contract
projection_output_normal_form	The restricted output can be renormalized into the selected support normal form.	1	support_notation_and_normal_form_90.tsv	normal-form preservation under active projection	proof_sketch_ready	yes	possible	yes	possible	possible	possible	no	1	contract_equivalent_status_preservation
projection_strictly_decreases_support_measure_when_inactive_support_exists	If active support is a strict subset, support_size decreases and the lexicographic support tuple strictly decreases.	1	support_bound_measure_90.tsv;project_to_active_support_smaller_witness_90.tsv	none for strict subset arithmetic	proved_under_current_scope	yes	yes	no	no	no	no	no	1	use_measure_decrease
projection_noop_when_all_support_active	If active support equals the full support set, projection is no-op and does not create a smaller witness.	1	active_support_notation_90.tsv	none	proved_under_current_scope	yes	yes	no	no	no	no	possible	1	route_to_next_operation
projection_preserves_payload_refinement	Projection preserves/refines payload relation when all payload coordinates are active.	1	family_chain_payload_refinement_relation_90.tsv;project_to_active_status_semantics_90.tsv	payload-refinement preservation under active projection	proof_sketch_ready	yes	possible	possible	yes	possible	yes	no	1	contract_equivalent_status_preservation
projection_preserves_or_reduces_counterexample_status	Projection preserves counterexample status, reduces to smaller witness, or names blocker/escape under the project-to-active status skeleton.	1	project_to_active_status_skeleton_90.tsv	inactive-support counterexample-status locality;valid reduced-status fallback	proof_ready_skeleton_project_to_active_status_locality_open	yes	yes	possible	possible	yes	possible	possible	1	contract_equivalent_status_preservation
projection_commutes_with_canonicalization	Projecting to active support and then canonicalizing agrees with canonicalizing then projecting the active coordinate image.	1	family_chain_canonical_lift_soundness_90.tsv	canonical reindexing under active projection	proof_sketch_ready	yes	possible	yes	yes	possible	possible	no	1	contract_equivalent_status_preservation
projection_respects_family_chain_source_form	Recognized family-chain source form remains recognized after projection when all recognizer/lift fields are active.	1	family_chain_source_form_recognizer_90.tsv;family_chain_refined_lift_map_90.tsv	family-chain source-form projection proof	proof_sketch_ready	yes	possible	yes	yes	possible	yes	no	1	contract_equivalent_status_preservation
projection_failure_is_named_escape	Projection failure is named as no-op, payload/status blocker, family-chain source blocker, next operation, or deferred higher-support escape after operation exhaustion.	1	higher_support_escape_interface_90.tsv;project_to_active_status_skeleton_90.tsv	higher-support bound after operation proofs close	proved_under_current_scope	yes	no	no	possible	possible	possible	yes	1	use_failure_classification
no_hidden_projection_failure_case	The current projection taxonomy has no hidden case outside success, no-op, named blocker, next operation, or deferred higher-support escape.	1	project_to_active_status_preservation_scope_inventory_90.tsv	arbitrary witness completeness proof	proof_sketch_ready	yes	possible	possible	possible	possible	possible	yes	1	contract_equivalent_status_preservation
