metric	value
source_form_classification_count	5
refined_lift_map_status	refined_lift_map_defined_for_recognized_sources_preservation_open
phase2_relation_status	payload_refinement_relation_proof_ready_skeleton
source_target_correspondence_status	source_target_correspondence_proof_ready_skeleton
smaller_witness_construction_status	smaller_witness_construction_proof_ready_but_operation_blocked
obstruction_preservation_status	partial_preservation_phase2_relation_ready_status_open
phase2_skeleton_status	partial_phase2_proved_escape_open
proved_under_current_scope	4
proof_sketch_only	5
blocked	1
next_blocker	family_chain_lift_phase3_if_needed
fingerprint	lift_map_refinement_phase2|partial_phase2_proved_escape_open|5|13|4|5|1|family_chain_lift_phase3_if_needed
