metric	value
candidate_key	higher_support_necessity
necessity_label	higher_support_deferred_due_to_operation_proofs_open
support9_plus_implemented	0
support9_plus_scan_run	0
support8_claim_sufficient_for_current_lock	1
support9_plus_proven_necessary	0
theoretical_bound_available	0
operation_proofs_open	1
residual_absorption_measure_open	1
required_data_shape	deferred_until_true_escape_after_operation_proofs
engine_parameterization_reusable	in_principle_not_authoritative
expected_runtime_memory_risk	high
minimal_proof_obligation	operation_specific_status_proofs_and_residual_absorption_measure
recommended_next_action	prove_next_support_reduction_operation_sublemma
