case_mode	case_n	case_seed	call_idx	total_candidates	same_side_reject_candidates	accepted_candidates	other_reject_candidates	st_separator_candidates	st_separator_ratio	prefilter_compute_ms	prefilter_kind
comb_dense	256	1	1	253	253	0	0	0	0.000000	779.246	round45_shadow_prefilter
comb_dense	256	1	2	251	251	0	0	0	0.000000	560.382	round45_shadow_prefilter
comb_dense	256	1	3	249	249	0	0	0	0.000000	619.280	round45_shadow_prefilter
comb_dense	256	1	4	247	247	0	0	0	0.000000	737.838	round45_shadow_prefilter
comb_dense	256	1	5	245	245	0	0	0	0.000000	573.260	round45_shadow_prefilter
comb_dense	256	1	6	243	243	0	0	0	0.000000	575.359	round45_shadow_prefilter
comb_dense	256	1	7	241	241	0	0	0	0.000000	442.829	round45_shadow_prefilter
comb_dense	256	1	8	239	239	0	0	0	0.000000	443.476	round45_shadow_prefilter
comb_dense	256	1	9	237	237	0	0	0	0.000000	444.278	round45_shadow_prefilter
comb_dense	256	1	17	221	220	0	1	0	0.000000	393.120	round45_shadow_prefilter
comb_dense	256	1	25	205	205	0	0	0	0.000000	311.556	round45_shadow_prefilter
comb_dense	256	1	33	189	189	0	0	0	0.000000	245.369	round45_shadow_prefilter
comb_dense	256	1	41	171	171	0	0	0	0.000000	207.456	round45_shadow_prefilter
comb_dense	256	1	49	157	157	0	0	0	0.000000	172.502	round45_shadow_prefilter
comb_dense	256	1	57	141	141	0	0	0	0.000000	177.831	round45_shadow_prefilter
comb_dense	256	1	65	125	125	0	0	0	0.000000	160.292	round45_shadow_prefilter
comb_dense	256	1	73	109	109	0	0	0	0.000000	58.838	round45_shadow_prefilter
comb_dense	256	1	81	93	93	0	0	0	0.000000	40.413	round45_shadow_prefilter
comb_dense	256	1	89	77	77	0	0	0	0.000000	26.356	round45_shadow_prefilter
comb_dense	256	1	97	61	61	0	0	0	0.000000	16.653	round45_shadow_prefilter
comb_dense	256	1	105	45	45	0	0	0	0.000000	6.109	round45_shadow_prefilter
comb_dense	256	1	113	29	28	0	1	0	0.000000	2.015	round45_shadow_prefilter
comb_dense	256	1	121	13	12	0	1	0	0.000000	0.110	round45_shadow_prefilter
