scope	mode	n	seed	baseline_status	round45_status	reason
micro_panel	comb_dense	4096	1	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_dense	8192	1	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_dense	8192	2	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_dense	8192	3	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_rect_dense	4096	1	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_rect_dense	8192	1	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_rect_dense	8192	2	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_rect_dense	8192	3	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	caterpillar_rect_dense	4096	1	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	caterpillar_rect_dense	8192	1	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	caterpillar_rect_dense	8192	2	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	caterpillar_rect_dense	8192	3	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_plus_unary	32768	1	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
micro_panel	comb_core	32768	1	baseline_not_reexecuted_after_smoke_fail	not_run	source_alignment_smoke_gate_failed
