kind	label	status	detail	artifact
command	bash	ok	/bin/bash	-
command	python3	ok	/usr/bin/python3	-
command	mkdir	ok	/bin/mkdir	-
command	mktemp	ok	/usr/bin/mktemp	-
command	dirname	ok	/usr/bin/dirname	-
command	chmod	ok	/bin/chmod	-
command	cp	ok	/bin/cp	-
command	mv	ok	/bin/mv	-
command	rm	ok	/bin/rm	-
command	rmdir	ok	/bin/rmdir	-
command	kill	ok	kill	-
command	tail	ok	/usr/bin/tail	-
command	sleep	ok	/bin/sleep	-
command	grep	ok	/usr/bin/grep	-
command	sort	ok	/usr/bin/sort	-
command	date	ok	/bin/date	-
command	ln	ok	/bin/ln	-
compiler	clang++	ok	/usr/bin/clang++	-
working_directory	original launch working directory	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3	-
working_directory	branch root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3	-
path_policy	clean path	ok	/opt/homebrew/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin	-
policy	manifest_input_policy	ok	branch_local_smoke_manifest	-
policy	manifest_selection_policy	ok	manifest_row_order	-
policy	seed_policy	ok	manifest_seed	-
setting	smoke_manifest_path	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/boj28350_resume/smoke_cases.tsv	-
setting	build_timeout_override	ok	-	-
setting	launcher_dispatch_timeout_s	ok	600	-
