kind	label	status	value
file	selected preset source	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
materialization	selected preset source	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.preset_cache/lca_strong_gate.json
path	script_dir	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/outer_suite_wrappers
path	branch_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3
path	outer_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker
path	tooling_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/lca_tree_stress_v5/tooling
path	artifacts_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5
path	tmp_parent	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.tmp
path	lock_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/.locks
path	output_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate
path	failure_root	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/artifacts/lca_tree_stress_v5/strong_gate.latest_failure
path	branch_preset_candidate	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/branch_3/suite_presets/strong_gate.json
path	outer_preset_candidate	ok	/Users/free_1/Library/Mobile Documents/iCloud~md~obsidian/Documents/cpp-checker/lca_tree_stress_v5/tooling/suite_presets/strong_gate.json
