case_index	stage_index	stage	mode	n	seed	shuffle_labels	shuffle_queries	timeout_s	must_pass	case_artifact_subpath	case_cache_subpath
1	1	correctness_fuzz	comb_rect_dense	64	1	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed1_L0_Q0	comb_rect_dense/n64/seed1_L0_Q0
2	1	correctness_fuzz	comb_rect_dense	64	1	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed1_L0_Q1	comb_rect_dense/n64/seed1_L0_Q1
3	1	correctness_fuzz	comb_rect_dense	64	1	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed1_L1_Q0	comb_rect_dense/n64/seed1_L1_Q0
4	1	correctness_fuzz	comb_rect_dense	64	1	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed1_L1_Q1	comb_rect_dense/n64/seed1_L1_Q1
5	1	correctness_fuzz	comb_rect_dense	64	2	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed2_L0_Q0	comb_rect_dense/n64/seed2_L0_Q0
6	1	correctness_fuzz	comb_rect_dense	64	2	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed2_L0_Q1	comb_rect_dense/n64/seed2_L0_Q1
7	1	correctness_fuzz	comb_rect_dense	64	2	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed2_L1_Q0	comb_rect_dense/n64/seed2_L1_Q0
8	1	correctness_fuzz	comb_rect_dense	64	2	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed2_L1_Q1	comb_rect_dense/n64/seed2_L1_Q1
9	1	correctness_fuzz	comb_rect_dense	64	3	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed3_L0_Q0	comb_rect_dense/n64/seed3_L0_Q0
10	1	correctness_fuzz	comb_rect_dense	64	3	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed3_L0_Q1	comb_rect_dense/n64/seed3_L0_Q1
11	1	correctness_fuzz	comb_rect_dense	64	3	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed3_L1_Q0	comb_rect_dense/n64/seed3_L1_Q0
12	1	correctness_fuzz	comb_rect_dense	64	3	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed3_L1_Q1	comb_rect_dense/n64/seed3_L1_Q1
13	1	correctness_fuzz	comb_rect_dense	64	4	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed4_L0_Q0	comb_rect_dense/n64/seed4_L0_Q0
14	1	correctness_fuzz	comb_rect_dense	64	4	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed4_L0_Q1	comb_rect_dense/n64/seed4_L0_Q1
15	1	correctness_fuzz	comb_rect_dense	64	4	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed4_L1_Q0	comb_rect_dense/n64/seed4_L1_Q0
16	1	correctness_fuzz	comb_rect_dense	64	4	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed4_L1_Q1	comb_rect_dense/n64/seed4_L1_Q1
17	1	correctness_fuzz	comb_rect_dense	64	5	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed5_L0_Q0	comb_rect_dense/n64/seed5_L0_Q0
18	1	correctness_fuzz	comb_rect_dense	64	5	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed5_L0_Q1	comb_rect_dense/n64/seed5_L0_Q1
19	1	correctness_fuzz	comb_rect_dense	64	5	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed5_L1_Q0	comb_rect_dense/n64/seed5_L1_Q0
20	1	correctness_fuzz	comb_rect_dense	64	5	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n64/seed5_L1_Q1	comb_rect_dense/n64/seed5_L1_Q1
21	1	correctness_fuzz	comb_rect_dense	128	1	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed1_L0_Q0	comb_rect_dense/n128/seed1_L0_Q0
22	1	correctness_fuzz	comb_rect_dense	128	1	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed1_L0_Q1	comb_rect_dense/n128/seed1_L0_Q1
23	1	correctness_fuzz	comb_rect_dense	128	1	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed1_L1_Q0	comb_rect_dense/n128/seed1_L1_Q0
24	1	correctness_fuzz	comb_rect_dense	128	1	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed1_L1_Q1	comb_rect_dense/n128/seed1_L1_Q1
25	1	correctness_fuzz	comb_rect_dense	128	2	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed2_L0_Q0	comb_rect_dense/n128/seed2_L0_Q0
26	1	correctness_fuzz	comb_rect_dense	128	2	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed2_L0_Q1	comb_rect_dense/n128/seed2_L0_Q1
27	1	correctness_fuzz	comb_rect_dense	128	2	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed2_L1_Q0	comb_rect_dense/n128/seed2_L1_Q0
28	1	correctness_fuzz	comb_rect_dense	128	2	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed2_L1_Q1	comb_rect_dense/n128/seed2_L1_Q1
29	1	correctness_fuzz	comb_rect_dense	128	3	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed3_L0_Q0	comb_rect_dense/n128/seed3_L0_Q0
30	1	correctness_fuzz	comb_rect_dense	128	3	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed3_L0_Q1	comb_rect_dense/n128/seed3_L0_Q1
31	1	correctness_fuzz	comb_rect_dense	128	3	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed3_L1_Q0	comb_rect_dense/n128/seed3_L1_Q0
32	1	correctness_fuzz	comb_rect_dense	128	3	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed3_L1_Q1	comb_rect_dense/n128/seed3_L1_Q1
33	1	correctness_fuzz	comb_rect_dense	128	4	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed4_L0_Q0	comb_rect_dense/n128/seed4_L0_Q0
34	1	correctness_fuzz	comb_rect_dense	128	4	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed4_L0_Q1	comb_rect_dense/n128/seed4_L0_Q1
35	1	correctness_fuzz	comb_rect_dense	128	4	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed4_L1_Q0	comb_rect_dense/n128/seed4_L1_Q0
36	1	correctness_fuzz	comb_rect_dense	128	4	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed4_L1_Q1	comb_rect_dense/n128/seed4_L1_Q1
37	1	correctness_fuzz	comb_rect_dense	128	5	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed5_L0_Q0	comb_rect_dense/n128/seed5_L0_Q0
38	1	correctness_fuzz	comb_rect_dense	128	5	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed5_L0_Q1	comb_rect_dense/n128/seed5_L0_Q1
39	1	correctness_fuzz	comb_rect_dense	128	5	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed5_L1_Q0	comb_rect_dense/n128/seed5_L1_Q0
40	1	correctness_fuzz	comb_rect_dense	128	5	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n128/seed5_L1_Q1	comb_rect_dense/n128/seed5_L1_Q1
41	1	correctness_fuzz	comb_rect_dense	256	1	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed1_L0_Q0	comb_rect_dense/n256/seed1_L0_Q0
42	1	correctness_fuzz	comb_rect_dense	256	1	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed1_L0_Q1	comb_rect_dense/n256/seed1_L0_Q1
43	1	correctness_fuzz	comb_rect_dense	256	1	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed1_L1_Q0	comb_rect_dense/n256/seed1_L1_Q0
44	1	correctness_fuzz	comb_rect_dense	256	1	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed1_L1_Q1	comb_rect_dense/n256/seed1_L1_Q1
45	1	correctness_fuzz	comb_rect_dense	256	2	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed2_L0_Q0	comb_rect_dense/n256/seed2_L0_Q0
46	1	correctness_fuzz	comb_rect_dense	256	2	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed2_L0_Q1	comb_rect_dense/n256/seed2_L0_Q1
47	1	correctness_fuzz	comb_rect_dense	256	2	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed2_L1_Q0	comb_rect_dense/n256/seed2_L1_Q0
48	1	correctness_fuzz	comb_rect_dense	256	2	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed2_L1_Q1	comb_rect_dense/n256/seed2_L1_Q1
49	1	correctness_fuzz	comb_rect_dense	256	3	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed3_L0_Q0	comb_rect_dense/n256/seed3_L0_Q0
50	1	correctness_fuzz	comb_rect_dense	256	3	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed3_L0_Q1	comb_rect_dense/n256/seed3_L0_Q1
51	1	correctness_fuzz	comb_rect_dense	256	3	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed3_L1_Q0	comb_rect_dense/n256/seed3_L1_Q0
52	1	correctness_fuzz	comb_rect_dense	256	3	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed3_L1_Q1	comb_rect_dense/n256/seed3_L1_Q1
53	1	correctness_fuzz	comb_rect_dense	256	4	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed4_L0_Q0	comb_rect_dense/n256/seed4_L0_Q0
54	1	correctness_fuzz	comb_rect_dense	256	4	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed4_L0_Q1	comb_rect_dense/n256/seed4_L0_Q1
55	1	correctness_fuzz	comb_rect_dense	256	4	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed4_L1_Q0	comb_rect_dense/n256/seed4_L1_Q0
56	1	correctness_fuzz	comb_rect_dense	256	4	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed4_L1_Q1	comb_rect_dense/n256/seed4_L1_Q1
57	1	correctness_fuzz	comb_rect_dense	256	5	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed5_L0_Q0	comb_rect_dense/n256/seed5_L0_Q0
58	1	correctness_fuzz	comb_rect_dense	256	5	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed5_L0_Q1	comb_rect_dense/n256/seed5_L0_Q1
59	1	correctness_fuzz	comb_rect_dense	256	5	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed5_L1_Q0	comb_rect_dense/n256/seed5_L1_Q0
60	1	correctness_fuzz	comb_rect_dense	256	5	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n256/seed5_L1_Q1	comb_rect_dense/n256/seed5_L1_Q1
61	1	correctness_fuzz	comb_rect_dense	512	1	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed1_L0_Q0	comb_rect_dense/n512/seed1_L0_Q0
62	1	correctness_fuzz	comb_rect_dense	512	1	0	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed1_L0_Q1	comb_rect_dense/n512/seed1_L0_Q1
63	1	correctness_fuzz	comb_rect_dense	512	1	1	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed1_L1_Q0	comb_rect_dense/n512/seed1_L1_Q0
64	1	correctness_fuzz	comb_rect_dense	512	1	1	1	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed1_L1_Q1	comb_rect_dense/n512/seed1_L1_Q1
65	1	correctness_fuzz	comb_rect_dense	512	2	0	0	2	1	runs/correctness_fuzz/comb_rect_dense/n512/seed2_L0_Q0	comb_rect_dense/n512/seed2_L0_Q0
