case_mode	case_n	case_seed	call_idx	currentV	currentE	currentQ	q_over_e	attachCuts	boundarySize	oldBoundarySize	boundaryZero	ccOne	dense_guard	boundary_guard	E_guard	Q_guard	badQueriesShape	fallback_total_ms	fallback_local_id_adj_ms	fallback_step3_ms	fallback_keep_order_ms	fallback_applyPatch_ms	shadow_prefilter_hit	shadow_attempted	shadow_match	shadow_mismatch_reason	validator_shadow_fail	spqr_total_ms	spqr_delta_ms	spqr_raw_total_ms	spqr_raw_choose_parallel_pair_ms	spqr_raw_recursive_total_ms	spqr_raw_recursive_series_split_ms	ds_total_ms	ds_build_subsetinfo_ms	ds_candidate_loop_ms	ds_comp_vector_init_ms	ds_seed_scan_ms	ds_bfs_queue_pushpop_ms	ds_bfs_neighbor_iter_ms	ds_comp_label_write_ms	ds_partition_loop_ms	ds_connectivity_check_ms	ds_normvec_ms	ds_other_ms	ds_candidate_count	ds_bfs_run_count	ds_seed_scan_hits	ds_queue_pushpop_hits	ds_neighbor_iter_hits	ds_label_write_hits	ds_partition_hits	ds_connectivity_check_hits	ds_accounted_ratio	ds_same_side_reject_count	ds_accepted_candidate_count	ds_other_reject_count	ds_st_separator_candidates	ds_st_separator_ratio
comb_dense	256	1	1	255	18370	6473	0.352368	0	1	0	0	1	1	0	1	1	Q6473_A0_B1_OB0_BZ0_CC1	4.600	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	991.067	986.467	668.283	0.000	668.283	668.283	668.283	1.512	650.775	0.139	0.014	8.193	3.708	3.839	0.000	0.000	0.000	0.102	253	253	253	128524	64009	64262	0	0	0.999848	253	0	0	0	0.000000
comb_dense	256	1	2	2	80	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.033	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	0.134	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0.000000	0	0	0	0	0.000000
comb_dense	256	1	3	253	18109	6409	0.353912	0	1	0	0	1	1	0	1	1	Q6409_A0_B1_OB0_BZ0_CC1	4.299	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	858.518	854.219	535.491	0.000	535.491	535.491	535.491	1.030	520.668	0.066	0.013	7.168	3.180	3.285	0.000	0.000	0.000	0.082	251	251	251	126504	63001	63252	0	0	0.999848	251	0	0	0	0.000000
comb_dense	256	1	4	2	65	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.029	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	0.085	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0.000000	0	0	0	0	0.000000
comb_dense	256	1	5	251	17878	6344	0.354850	0	1	0	0	1	1	0	1	1	Q6344_A0_B1_OB0_BZ0_CC1	3.838	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	812.793	808.955	507.124	0.000	507.124	507.124	507.124	1.313	490.963	0.072	0.016	8.068	3.380	3.231	0.000	0.000	0.000	0.081	249	249	249	124500	62001	62250	0	0	0.999841	249	0	0	0	0.000000
comb_dense	256	1	6	2	66	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.031	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	0.128	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0.000000	0	0	0	0	0.000000
comb_dense	256	1	7	249	17632	6271	0.355660	0	1	0	0	1	1	0	1	1	Q6271_A0_B1_OB0_BZ0_CC1	4.568	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	799.066	794.498	493.166	0.000	493.166	493.166	493.166	1.462	476.611	0.075	0.012	8.120	3.038	3.768	0.000	0.000	0.000	0.079	247	247	247	122512	61009	61256	0	0	0.999839	247	0	0	0	0.000000
comb_dense	256	1	8	2	74	0	0.000000	0	0	0	1	1	1	0	0	0	Q0_A0_B0_OB0_BZ1_CC1	0.035	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	0.205	0.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	0	0	0	0	0.000000	0	0	0	0	0.000000
comb_dense	256	1	9	247	17381	6203	0.356884	0	1	0	0	1	1	0	1	1	Q6203_A0_B1_OB0_BZ0_CC1	3.749	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	896.077	892.327	510.896	0.000	510.896	510.896	510.896	1.863	494.163	0.089	0.014	7.765	3.520	3.373	0.000	0.000	0.000	0.109	245	245	245	120540	60025	60270	0	0	0.999787	245	0	0	0	0.000000
comb_dense	256	1	17	239	16398	5908	0.360288	0	1	0	0	1	1	0	1	1	Q5908_A0_B1_OB0_BZ0_CC1	3.795	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	773.944	770.149	490.584	0.000	490.584	490.584	490.584	1.445	474.631	0.067	0.014	7.497	3.544	3.294	0.000	0.000	0.000	0.091	237	237	237	112812	56169	56406	0	0	0.999815	237	0	0	0	0.000000
comb_dense	256	1	25	230	15427	5576	0.361444	1	1	1	0	1	1	0	1	1	Q5576_A1_B1_OB1_BZ0_CC1	3.543	0.000	0.000	0.000	0.000	1	1	0	debug_off	0	706.102	702.559	436.370	0.000	436.370	436.370	436.370	1.297	422.603	0.052	0.013	6.557	2.854	2.929	0.000	0.000	0.000	0.065	228	228	228	104424	51984	52212	0	0	0.999851	228	0	0	0	0.000000
