case_mode	case_n	case_seed	call_idx	total_candidates	same_side_reject_candidates	accepted_candidates	other_reject_candidates	st_separator_candidates	st_separator_ratio	prefilter_compute_ms	prefilter_kind
comb_dense	256	1	1	253	253	0	0	0	0.000000	541.650	round45_shadow_prefilter
comb_dense	256	1	2	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	256	1	3	251	251	0	0	0	0.000000	509.121	round45_shadow_prefilter
comb_dense	256	1	4	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	256	1	5	249	249	0	0	0	0.000000	481.480	round45_shadow_prefilter
comb_dense	256	1	6	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	256	1	7	247	247	0	0	0	0.000000	428.968	round45_shadow_prefilter
comb_dense	256	1	8	0	0	0	0	0	0.000000	0.000	round45_shadow_prefilter
comb_dense	256	1	9	245	245	0	0	0	0.000000	452.030	round45_shadow_prefilter
comb_dense	256	1	17	237	237	0	0	0	0.000000	420.044	round45_shadow_prefilter
comb_dense	256	1	25	228	228	0	0	0	0.000000	480.398	round45_shadow_prefilter
comb_dense	256	1	33	221	220	0	1	0	0.000000	368.015	round45_shadow_prefilter
comb_dense	256	1	41	213	213	0	0	0	0.000000	372.432	round45_shadow_prefilter
comb_dense	256	1	49	205	205	0	0	0	0.000000	291.495	round45_shadow_prefilter
comb_dense	256	1	57	197	196	0	1	0	0.000000	258.596	round45_shadow_prefilter
comb_dense	256	1	65	189	189	0	0	0	0.000000	222.264	round45_shadow_prefilter
comb_dense	256	1	73	180	180	0	0	0	0.000000	204.964	round45_shadow_prefilter
comb_dense	256	1	81	171	171	0	0	0	0.000000	198.158	round45_shadow_prefilter
comb_dense	256	1	89	164	164	0	0	0	0.000000	172.922	round45_shadow_prefilter
comb_dense	256	1	97	157	157	0	0	0	0.000000	137.865	round45_shadow_prefilter
comb_dense	256	1	105	148	147	0	1	0	0.000000	124.401	round45_shadow_prefilter
comb_dense	256	1	113	141	141	0	0	0	0.000000	116.065	round45_shadow_prefilter
comb_dense	256	1	121	132	132	0	0	0	0.000000	96.345	round45_shadow_prefilter
comb_dense	256	1	129	125	125	0	0	0	0.000000	83.528	round45_shadow_prefilter
comb_dense	256	1	137	117	117	0	0	0	0.000000	58.868	round45_shadow_prefilter
comb_dense	256	1	145	109	109	0	0	0	0.000000	50.176	round45_shadow_prefilter
comb_dense	256	1	153	101	101	0	0	0	0.000000	51.842	round45_shadow_prefilter
comb_dense	256	1	161	93	93	0	0	0	0.000000	39.738	round45_shadow_prefilter
comb_dense	256	1	169	84	84	0	0	0	0.000000	28.299	round45_shadow_prefilter
comb_dense	256	1	177	77	77	0	0	0	0.000000	27.964	round45_shadow_prefilter
comb_dense	256	1	185	69	69	0	0	0	0.000000	16.971	round45_shadow_prefilter
comb_dense	256	1	193	61	61	0	0	0	0.000000	13.610	round45_shadow_prefilter
comb_dense	256	1	201	53	53	0	0	0	0.000000	8.429	round45_shadow_prefilter
comb_dense	256	1	209	45	45	0	0	0	0.000000	5.598	round45_shadow_prefilter
comb_dense	256	1	217	37	36	0	1	0	0.000000	3.033	round45_shadow_prefilter
comb_dense	256	1	225	29	28	0	1	0	0.000000	2.135	round45_shadow_prefilter
comb_dense	256	1	233	21	20	0	1	0	0.000000	0.810	round45_shadow_prefilter
comb_dense	256	1	241	13	12	0	1	0	0.000000	0.150	round45_shadow_prefilter
comb_dense	256	1	249	5	4	0	1	0	0.000000	0.016	round45_shadow_prefilter
